mxm_tid,a_name,title
2923653,Ana Gabriel,Paz en Este Amor
4054990,Eric Clapton,After Midnight
10258092,Hurricane Bells,Monsters
3377701,Ramesses,Ramesses II
1597806,Jeff Beck,Tallyman
1866002,A Flock of Seagulls,Nightmares
7081155,Leona Lewis,Here I Am
916310,Bruce Springsteen,Better Days
2473758,Merche,Vete de aquí
3275278,Johnnie Ray,Such a Night
745250,Alison Krauss,Forget About It
5251378,Hope of the States,Bonfires
6870821,Carnival in Coal,Baker Street
9970223,Marion Raven,At the End of the Day
996602,Kotipelto,Knowledge and Wisdom
1691797,Normal Like You,Picture Frames
5454376,Epidemic,Three Witches
607632,Disembowelment,Cerulean Transience of All My Imagined Shores
2468721,The Holiday Plan,Around My Wrist
1187178,Lila McCann,Can You Hear Me
6138275,Supreme Majesty,Until the End of Time
6844093,Kaizers Orchestra,Enden av november
673829,The Smashing Pumpkins,Crush
3410358,Jump5,I've Got the Music in Me
3186470,Lou Reed,Walk on the Wild Side
4514895,Tone Damli Aaberge,The Moon Is a Harsh Mistress
768400,Rebecca St. James,"Jesu, Joy of Man's Desiring"
5806185,Patrick Wolf,Get Lost
2440689,The Samples,Across the Sea
6577534,Master Blaster,Walking in Memphis
6979896,DeVotchKa,Along the Way
9768544,Adam Sandler,Forgetful Lucy
5562793,Kidz Bop,Girl Next Door
4079004,Tocotronic,Ja
2759016,Lauryn Hill,The Passion
1604461,Funeral for a Friend,Kiss and Make Up (All Bets Are Off)
1767173,Hanson,Penny and Me
3617554,DevilDriver,Sin & Sacrifice
3819565,Useless ID,Pink Stars and Magazines
1150851,Les Innocents,Fous à lier
4662903,Martha and the Muffins,Sinking Land
8229722,Indochine,Bye Bye Valentine
2749575,Slim Cessna's Auto Club,Thorny Crown
1552868,Broadcast,Before We Begin
13139379,The-Dream,Love vs. Money: Part 2
6887361,Transilvanian Beat Club,Excess Deluxe
2173920,dead prez,Don't Forget Where U Goin'
8546051,Ricki-Lee,U Wanna Little of This
760975,Stone Temple Pilots,A Song for Sleeping
8744545,Eric B. & Rakim,Set 'em Straight
2959860,Clay Aiken,Don't Save It All for Christmas Day
805562,Claude-Michel Schönberg,Bring Him Home
5432188,Thunderbirds Are Now!,Why We War
1039470,Cat Power,Cross Bones Style
5506176,Été 67,Tu n'es pas la
4749372,Shawn McDonald,My Salvation
3654309,Lionel Richie,Can't Slow Down
860162,Ween,Push th' Little Daisies
6260577,Basia Bulat,I Was a Daughter
1376113,Blue Öyster Cult,I'm on the Lamb but I Ain't No Sheep
4786072,Sibylle Baier,Give Me a Smile
8705657,Minipop,Wearing Thin
1084719,MC Paul Barman,Burping & Farting
5289008,Sweet,Done Me Wrong All Right
1495936,Peter Hammill,Golden Promises
8699105,Scorpions,Dark Lady
905973,Clint Black,You Don't Need Me Now
6504552,David Crowder Band,Rain Down
2397613,John Fogerty,Blue Moon Nights
1771819,ZZ Top,Sharp Dressed Man
1198207,Crystal Lewis,How Great Thou Art
2444894,Heart,Perfect Goodbye
5859135,The Chameleons,Swamp Thing
2025322,Macabre,The Ted Bundy Song
657220,Pink Floyd,Echoes
3084008,Mystic Prophecy,In Hell
2254588,IQ,Breathtaker
7833229,Better Luck Next Time,Disaster Bound
8391652,The Enemy,Last Goodbye
1622661,Herman Düne,In the Summer Camp
5260232,Tanya Morgan,We Be
3883788,Sonia Dersion,Jeannot
2735570,Pat Travers,Boom Boom (Out Go the Lights)
1208920,Luther Allison,You Can Run but You Can't Hide
7543623,Brian Wilson,Morning Beat
4005921,Hank Williams,Rootie Tootie
6600922,The Beatles,Baby It's You
741008,C-Murder,Akickdoe
7043630,Whiskeytown,Indian Gown
3179600,Schweisser,Scheisskind
9491322,Status Quo,In the Army Now
3950734,The Strawbs,Evergreen
1518023,Matt Nathanson,Everything You Say It Sounds Like Gospel
9990345,Stan Ridgway,Can't Stop the Show
6173293,Céline Dion,À cause
7891381,Reckless Kelly,Break My Heart Tonight
8232404,Paul Rodgers,I'll Be Creepin'
865067,The Cranberries,Carry On
7768556,Craig Morgan,Redneck Yacht Club
2227257,...and Oceans,Halcyon: The Heavy Silence: In Silent Rain
4232577,Fun Lovin' Criminals,Mi Corazón
6429602,Moneybrother,It Is Time for Falling Apart
4326516,Play N Skillz,Music's Worth It
9531037,The Sensational Alex Harvey Band,Vambo
6389553,The Click Five,Long Way to Go
6738969,Lee Ann Womack,Stubborn (Psalm 151)
755789,Journey,Good Times
904826,Anointed,If We Pray
9278357,Graham Parker,You've Got to Be Kidding
2560361,Jon Secada,Solo Tu Imagen
2891544,Pavement,All My Friends
1628156,The Wildhearts,Top of the World
5643462,Ash,I'm Gonna Fall
5708824,CPM 22,Um minuto para o fim do mundo
5131919,Michael Kiske,Sad as the World
2088614,Peter & Gordon,Five Hundred Miles
1009264,Carbon Leaf,Mellow Tone
3603364,Bonnie McKee,Honey
1075328,Run-D.M.C.,My Adidas
880979,Ween,Mononucleosis
3457869,Donnie,Our New National Anthem
3281341,Dion & The Belmonts,Queen of the Hop
5550200,Björk,Storm
4092095,The Like,(So I'll Sit Here) Waiting
595754,GWAR,Krak Down
3661826,Utopia,Crybaby
5890135,Entre Ríos,Drama
1378764,The Revolution Smile,Alien
1034320,Damn Yankees,Double Coyote
731558,Kim Hill,"O Come, Let Us Adore Him"
6256122,Entombed,Amok
7533627,Matthew Sweet,Flying
9467233,Jamie Cullum,Just One of Those Things
1158216,Catherine Wheel,Shocking
3320098,Marty Robbins,Constancy (Ua Like No More)
5437624,Dead to Me,Splendid Isolation
9101191,Moloko,Lotus Eaters
9312800,Ram-Zet,God Don't Forgive
5020571,Juan Gabriel,"Adiós amor, te vas"
5293510,Yo La Tengo,Song for Mahila
7642815,Garou,Beautiful Regret
651234,Mad Dog Loose,Sister Of Free
765999,Boyz II Men,To the Limit
1572960,Oliver Onions,Ballad
13433312,The Dismemberment Plan,The Dismemberment Plan Gets Rich
3651077,Cory Branan,Spoke Too Soon
8387523,Daft Punk,Face to Face (Cosmo Vitelli remix)
895094,Big Tymers,10 Wayz
5714878,Ayọ,Without You
8216899,T-Spoon,A Part of My Life
3344346,Iron Sy,La Faucheuse
5390942,Fireflight,Something New
913712,Paul Westerberg,Born for Me
6284283,Gibonni,Oprosti
1677296,Fabolous,Not Give a Fuck
1229208,Scorpions,Leave Me
2928033,Joni James,How Important Can it Be
1178631,Michael W. Smith,Jingle Bells
3618077,Ray Charles,Get on the Right Track Baby
1487820,Cameo,She's Strange
1950053,The Coral,Why Does the Sun Come Up?
6207446,No Turning Back,Sick and Tired
2358760,Wayne Watson,Would I Know You
9665448,Organized Konfusion,Sin
1825018,Grave,Rise
1365999,The Exploited,Eyes of the Vulture
7808696,Steven Wilson,Only Child
7297914,Ayria,Infiltrating My Way Through the System (Exclusive mix)
1179193,Gang Starr,Lovesick
1081418,Blind Guardian,Another Holy War
6049271,The Association,Just About the Same
5438372,This Providence,A Wolf in Sheep's Clothing
873336,Reset,A Matter of Rights
1851922,Kitty Wells,Searching (for Someone Like You)
7662366,Lenine,Lá vem a cidade
7919820,Erika,I Don't Know
2591528,Willy Chirino,Somos
4475623,New Model Army,Brave New World
7217680,The Clancy Brothers,Whiskey You're the Devil
3991317,Taproot,Forever Endeavor
7522478,Ina Deter,Neue Männer braucht das Land
3961748,Her Space Holiday,The Good People of Everywhere
8680324,Guus Meeuwis,Denk ik alleen aan jou
4432062,Thelma Houston,Don't Leave Me This Way
1793487,2Pac,Lil' Homies
11118768,Lee Andrews & The Hearts,Long Lonely Nights
6581089,Relient K,12 Days of Christmas
8486810,Speech Debelle,Finish This Album
745430,Vanessa Williams,2 of a Kind
5063557,Poison,Look What the Cat Dragged In
3180146,Truth Enola,Everything Gonna Be Alright
2997600,The Exies,Dear Enemy
10063513,Eddy Arnold,Make the World Go Away
2499403,Polly Paulusma,Over the Hill
7574507,Udo Lindenberg,Wenn du durchhängst
7372900,All Shall Perish,Promises
3611075,Waking Ashland,October Skies
2927683,Jack Greene,All The Time
3192650,João Gilberto,Sampa
732116,Eden's Bridge,Catching the Breeze
1039942,Burning Spear,Farover
7339382,Saving Abel,Drowning (Face Down)
869558,Peter Tosh,Pick Myself Up
1369636,Wellwater Conspiracy,The Scroll
6110829,The Red Jumpsuit Apparatus,Face Down (acoustic)
7669640,Desorden Público,Gorilón
4060714,João Gilberto,O Pato
8368866,Patsy Cline,I've Loved and Lost Again
782885,New Order,Sub-culture
5682921,Mischa Daniëls,Run Away
3698341,Kane,Dreamer
1246504,Jean-Louis Murat,Les Hérons
4422661,Atlanta Rhythm Section,Spooky
675777,Bruce Dickinson,Taking the Queen
2164431,La Rue Kétanou,Sao Loucas
1145091,Modern English,Life in the Gladhouse
3102520,Jughead's Revenge,Silver Spoon
7442072,Wayne Newton,Years
2544466,The Crabb Family,Through The Fire
3204059,Doves,Snowden
2481547,Sonny Terry & Brownie McGhee,That's Why I'm Walking
592365,Pennywise,Peaceful Day
8513764,Heather Headley,Simply Redeemed
736289,The Gathering,Frail (You Might as Well Be Me)
5555086,Seth Lakeman,The Punch Bowl
5463633,Gazpacho,Eleva
5151299,Samuele Bersani,Una delirante poesia
3987319,Michael Jackson,Happy (Love Theme From 'Lady Sings the Blues')
2849227,The Arrogant Sons of Bitches,Meatheads Attack Spencer at 9
8098148,Cannibal Corpse,Evidence in the Furnace
6029636,Dolorean,Beachcomber Blues
4162403,Sean Paul,We Be Burnin'
8079528,Wilson Pickett,"Call My Name, I'll Be There"
2601936,The Statler Brothers,We Got Paid by Cash
6398968,Pillar,Let It Out
2692552,Airiel,Swimming Through Us
6585800,Suicidal Tendencies,Alone
795811,Tracy Bonham,Sharks Can't Sleep
1150020,Grandaddy,Why Took Your Advice
3435253,Strapping Young Lad,Possessions
1524335,Queensrÿche,The Art of Life
597629,Armored Saint,Tainted Past
808323,Tricky,A Song for Yukiko
1925290,Ultravox,The Thin Wall
3519587,Silent Stream of Godless Elegy,Look
2373480,Laura Nyro,When I Was a Freeport and You Were the Main Drag
3402151,Argent,Thunder and Lightning
1255269,Julian Lennon,Let Me Be
5218989,Tim O'Brien,"Flora, The Lily Of The West"
7402817,The Alternate Routes,Ordinary
1150746,The Jeff Beck Group,Jailhouse Rock
2490989,The Ordinary Boys,The List Goes On
1509271,Death Cab for Cutie,405 (acoustic)
1065250,Haircut One Hundred,Surprise Me Again
3896642,Kristine W,The Wonder of It All
2173830,The Magnetic Fields,I Thought You Were My Boyfriend
846563,Ultravox,Quiet Men
9511087,Dark Fortress,Osiris
2867928,Nasum,Circle of Defeat
685734,Slick Rick,Mona Lisa
2402535,Catupecu Machu,Gritarle al viento
2338988,Kayah,Na językach
2484388,MC5,Borderline
1375131,Gang of Four,In the Ditch
5166443,This Is Hell,Prelude (Again)
3323370,Toby Lightman,The River
7956715,Carbon/Silicon,The News
7417246,Aretha Franklin,What a Friend We Have in Jesus
4834176,Schweisser,Trotzdem
1509049,Sandra,Sisters and Brothers
836314,Portishead,Wandering Star
9113360,Rotting Christ,Sorrowful Farewell
736293,The Gathering,Liberty Bell
3259005,It's a Beautiful Day,It Comes Right Down to You
1005942,Iggy Pop,Fuckin' Alone
1103115,The Mamas & the Papas,People Like Us
6124143,Nevada Tan,So wie du
1106028,Ian Van Dahl,Castles in the Sky
9274434,Meaghan Smith,Heartbroken
1674708,The Manhattan Transfer,Scotch and Soda
1729634,Malevolent Creation,Monster
2059501,Thrice,Cold Cash and Colder Hearts
5411014,Cultus Sanguine,Silent Tunes of Falling Blood
3936362,Udo Lindenberg,Panik-Panther
4299999,Smokie Norful,It's All About You
1017108,Rise Against,Stained Glass and Marble
7112415,DAY26,Co Star
9730162,Duran Duran,The Chauffeur
10225872,Ann Nesby,I Apologize
5816259,Patti Austin & James Ingram,How Do You Keep the Music Playing
1100325,Herbert Grönemeyer,Alkohol
1966361,Ben Harper,When It's Good
1365367,Inspectah Deck,Movas & Shakers
1351574,Glasseater,Polar Opposites
5447567,Strike Anywhere,Prisoner Echoes
3318466,Japan,Methods of Dance
4016799,Ill Niño,This Is War
5633094,Blackfield,Hello
3271366,Brenda Lee,Some of These Days
7535382,King Geedorah,Next Levels
