mxm_tid,a_name,title
3037761,Flux of Pink Indians,Background of Malfunction
3932140,Operation Ivy,Knowledge
6682980,Saxon,747 (Strangers in the Night)
4038543,Aerosmith,Cryin'
1096096,Erasure,Victim of Love
5549039,FFH,Through My Eyes
9764800,The Hoosiers,Cops and Robbers
7207130,Topmodelz,Something About You
761338,Good Riddance,Yesterday's Headlines
4179260,The Last Dance,Wake Me Screaming
3508292,Nerina Pallot,Nickindia
7230102,Jenniffer Kae,Ebb And Flow
2974626,Liam Lynch,Happy Song
4250903,Bob Marley & The Wailers,No Sympathy
2920483,Story of the Year,Until the Day I Die
8473533,Ambrosia,Holdin' on to Yesterday
4798637,I Walk the Line,The Man Without a Name
8647108,"Crosby, Stills & Nash",House of Broken Dreams
6586130,Cobra Starship,My Moves Are White (White Hot That Is)
4450686,Cabballero,Hymn
3658000,System of a Down,This Cocaine Makes Me Feel Like I'm on This Song
8990875,Josh Pyke,Sew My Name
2920673,Naked Raygun,Entrapment
1594812,Daniel Balavoine,Sauver l'amour
677412,DREAMS COME TRUE,MOONLIGHT
1133826,Talk Talk,I Believe in You
7062844,The Rutles,Major Happy's Up and Coming Once Upon a Good Time Band
4238661,WHY?,Gemini (Birthday Song)
1200699,Agathodaimon,After Dark
3756026,Chiasm,Rewind
4050561,Patent Pending,67 Dollars and No Sense
6979897,DeVotchKa,The Clockwise Witness
3918567,Aim,Ain't Got Time to Waste
770408,Rick Astley,Never Knew Love
5437283,Bobbie Gentry,Mississippi Delta
5159364,Patrik Isaksson,Vår sista dag
5684628,Týr,Lord of Lies
4984683,Gloria Lasso,Venus
808390,Robert Plant,Your Ma Said You Cried in Your Sleep Last Night
738765,Muddy Waters,All Night Long
6592229,Mando Diao,Never Seen the Light of Day
3035276,One Way System,Believe Yourself
3396923,Incantation,Merciless Tyranny
910497,Japan,The Art of Parties
985071,Continental Drifters,Tomorrow's Gonna Be
1627611,Enchant,Invisible
2488167,dc Talk,I Wish We'd All Been Ready
7966524,The Adverts,New Boys
4755157,The Dickies,Fan Mail
4402867,Natalino Otto,Mamma voglio anch'io la fidanzata
7319586,Nessbeal,Rimes instinctives
589854,No Innocent Victim,C.E.B.
2668915,Verdena,Elefante
1446957,The Bluetones,Mudslide
6995884,The Durutti Column,Sketch for Dawn
2357720,Platero y tú,Un abecedario sin letras
1022447,Life of Agony,Don't You (Forget About Me)
3317037,Adema,Until Now
6411296,Four Year Strong,"Heroes Get Remembered, Legends Never Die"
5263408,Matthew Sweet,I've Been Waiting
9388925,Loquillo,Cadillac Solitario
7346359,John Mayer Trio,Out of My Mind
6448196,Evile,Thrasher
