f_name,a_name,title,lyrics
angry_all/Bone Machine (Remastered).mp3,Pixies,Bone Machine (Remastered),"(This is a song for Carol!)  You're into Japanese fast food, and I dropped you off with your Japanese lover And you're going to the beach all day You're so pretty when you're unfaithful to me You're so pretty when you're unfaithful to me  Oh, you're looking like you got some sun Your blistered lips have got a kiss That taste a bit like everyone  Your bone's got a little machine You're the bone machine  I was talking to preachy-preach about kissy-kiss He bought me a soda He bought me a soda He bought me a soda and he tried to molest me in the parking lot Yep, yep, yep, yep!  I'll make you pray, you make me hard Your island skin looks Mexican Our love is rice and beans and horse's lard  Your bone's got a little machine You're the bone machine  Your bone's got a little machine"
angry_all/Bop Gun (One Nation) (Radio Edit).mp3,Ice Cube,Bop Gun ,"At these up late times, hardcore funkateers before the bop gun. We unleash you a positive light. The bop gun can do you no harm. It frees yo mind, so yo kind can follow. Yeah  So wide you can't get around it So low you can't get under it So high you can't get over it IIIIIIII, can't get over it (Ah yaaaaaa, di-dit-dit-dit-dit) (Ah yaaaaaa, di-dit-dit-dit-dit) (Ah yaaaaaa, di-dit-dit-dit-dit) (Ah yaaaaaa, di-dit-dit-dit-dit) Well all right! (Ah yaaaaaa, di-dit-dit-dit-dit) Attention all radio station jocks ... (Ah yaaaaaa, di-dit-dit-dit-dit) Haw haw, got to be groovin' jammin' on yo box. (Ah yaaaaaa, di-dit-dit-dit-dit) The Mothership Connection is upon you again. (Ah yaaaaaa, di-dit-dit-dit-dit) Yeah, workin' up a sweat, is it wet yet? (Ready or not, here we come Getting down for the one which we believe in)  Verse 1: Ice Cube 1993, much more ba-e-ya-e-younce Ice Cube comin' with the half ounce Not Just Knee Deep, jeep fulla smog A, To, mic, Dog Like ya behind, heard it through the grapevine How much longer will you be mine? And I'ma tell ya, I don't like drama So do I have to put my handcuffs on your mama 'Cause Bertha Butt did her fuckin' boogie with her crew But I'd rather fuck you, boo And make you say humdrum, tweedee dum Humdrum don't succumb when I'm done, buckin' shit One nation under a groove gettin' down for the fuck of it Tear the roof of this motherfucker like we did last night, son And hit you with the bop gun  (Clinton) Here's my chance to dance my way Out of my constriction Gonna be freakin' up and down Hang up really late The groove I only got We shall all be moved Ready or not, here we come Gettin' down for the one which we believe in (One nation under a groove Gettin' down just for the funk of it One nation and we're on the move Nothin' can stop us now)   {Yeah.} Dance, sucka, dance!  {Yeah, heh heh. And it don't stop. Sheeeit.}  Givin' you more of what you're funkin' for Aw, feet don't fail me now! Ha ha! (Givin' you more of what you're funkin' for) Do you promise the funk {yep}, the whole funk, Nothin' but the funk? {Hit you with the bop gun, heh, Buss a cap with my bop gun, Gotta hit you with the bop gun, Buss a cap with the bop gun, hit you with the bop gun, Buss a cap with the bop gun, heh, 'cause I'm the top gun...} Ready. {yep} Ready. {yep} Ready. {yep, come on} (Ready or not, here we come Gettin' down on the one which we believe in)  Verse 2: Ice Cube If you hear any noise, it's just me and the boys Playin' with our toys M-1, 'cause everybody's gotta have fun Under the sun, under the sun So rough, so tough when I get down The disco fiend with the monster sound I wants to get fucked up when I'm chillin', whoa The bigger the headache, the bigger the pill-in You let her funk me 'cause my funk is the best Comin' from the West Kickin that shit be occupied, dedicated to the preservation motion of hips Hittin them dips, CD skips but I'm straight As I bounce, rock, skate, now I'll toast to that If it's rough, make the girls say ""Do that stuff! Aw, do that stuff!"" But ya got to be, you got to be a freak of the week For the top gun, hit you with the bop gun  (One nation under a groove Gettin' down just for the funk of it One nation and we're on the move Nothin' can stop us now) {Trick! Yeah!} Jus hit 'em with the bop gun! (One nation under a groove {heh} Gettin' down just for the funk of it One nation and we're on the move Nothin' can stop us now) {Get up with the bop gun...} (One nation under a groove ('bout time we got down, one time) Gettin' down just for {the fuck of it, yeah} One nation and we're on the move Nothin' can stop us now) (One nation under a groove (now everybody say) Gettin' down just for the funk of it One nation and we're on the move Nothin' can stop us now) (Here's my chance to dance my way Out of my constriction) (Feet don't fail me now! Ha ha!) {Get 'em with the bop gun... I'm a' blast with the bop gun ... heh heh ... On yo ass with the with the bop gun ... I'm talkin' trash with the bop gun ... yeah And it don't stop And it won't stop} Here's my chance to dance my way, Out of my constriction (Yeah, feel the shit now!) {Oh shit}  ... Hear ya say Party over here fuck you over there! &lt;Party over here fuck you over there!&gt; Lemme hear ya say Party over here fuck you over there! &lt;Party over here fuck you over there!&gt; {Oh yeah} Lemme hear ya say Party over here fuck you over there! &lt;Party over here fuck you over there!&gt; Lemme hear ya say Party over here fuck you over there! &lt;Party over here fuck you over there, nigga!&gt; Lemme hear ya say Party over here fuck you over there! &lt;Party over here fuck you over there!&gt; Lemme hear ya say Party over here fuck you over there! &lt;Party over here fuck you over there!&gt;  (Givin' you more of what you're funkin' for Feet don't fail me now) (That's right!) (Do you promise the funk Givin' you more of what you're funkin' for Ooh, feet don't fail me now ... Can I get it on my good foot, good gawd ... 'Bout time I got down one time) (Can I get down one time)   (Ice Cube) Do not attempt to adjust your radio There ain't nothin' wrong, so hit the bong Waitin' on the double dutch bus for a ride As the buffalo bitch go round the outside Put a glide in your stride and a dip in your hip Got Daytons on the mothership And you can ring my bell if you need me to pass The dutchie on the left hand side for the sale 'Cause nobody knows where the nose goes when the doors close Dog chow got the hoes Lookin' for the theme from the Black Hole Now I'll big bang you with my black pole Flashlight, red light, we don't like cops on the bike Just made bail, tonight So whatcha gonna do when you get outta jail? I'm gonna have some fun with the bop gun  (Ready or not, here we come Getting down on the one which we believe in) (One nation under a groove (Here is my chance to dance my way) Gettin' down just for the funk of it (One Nationnnn) One nation and we're on the move (Get it on my good foot, good gawd) Nothin' can stop us now) (Ha ha ha ha ha haeeee) (One nation under a groove Gettin' down just for the funk of it One nation and we're on the move Nothin' can stop us now) (Now I want everybody to put together this time ... hit me!) (One nation under a groove (Can I get it on my good foot) Gettin' down just for the funk of it (Bout time I got down one time) One nation and we're on the move Nothin' can stop us now) (Uh huh, uh huh, one nation) (One nation under a groove (Can I get it on my good foot) Gettin' down just for the funk of it (Bout time I got down one time) One nation and we're on the move Nothin' can stop us now) (One nation under a groove (Ooh yeah) Gettin' down just for the funk of it (Ooh yeah) One nation and we're on the move Nothin' can stop us now) (Ha ha ha ha ha haeeee) (One nation under a groove Gettin' down just for the funk of it (Bout time I got down one time) One nation and we're on the move Nothin' can stop us nowwwwww.)"
angry_all/Boxing Champ.mp3,Kaiser Chiefs,Boxing Champ,We went to the youth club And we looked out of place I didn't know where to look So I looked at your face But you were a boxing champ And I was a weakling You didn't give me a chance You gave me a beating And I thank you very much that you did  And as the time went by we Stayed out of trouble Before I could realize My age had doubled The man I became is a tragic bore And he's not a boxing champ any more If there's one thing I learned it's to run away At least I enjoy what I do today And I thank you very much that I do
angry_all/Breath Control.mp3,Recoil,Breath Control,"Who wouldn't want a good girl A soft hand A gentle woman for a gentleman?  He said, ""It's been fine so far but  After a while, I want more than a soft style. I want some slashes to go with those long eyelashes.""  And so the bedroom became the black room But a year later he wanted something more Something I wasn't quite prepared for  He said, ""Every woman has an itch And every nice girl secretly wants to switch.""  I like how the skins look on your white hands I'd like you to deliver one of my demands."" He said, ""Every woman has an itch And every nice girl wants to switch.""   He led me in and lit the room with a hundred candles And said, ""God never gives you more than you can handle.""  I sat astride his chest ""It's just a thrill,"" he said, as he relaxed on the dark, dark bed ""It's just breath control."" ""It's just breath control.""  He whispered, ""Hold me here"" and I did and his head fell back He whispered ""Press harder"" and I did and his eyes rolled back It's just breath control, just breath control  I saw him go pale, I saw him seize up I felt something creep up, like a taste for this Like a reward, a kind of love, a kind of lustmord  It was a minute, then three, then five, then ten He wasn't coming up again I held on for twelve I saw him seize and thrash and twist and when he was still I lifted away my wrists and looked at my hands and tried to understand  ""It's just a thrill"" I said As he relaxed on the dark, dark bed I sat aside his chest ""It's just a thrill,"" he said ""Just a thrill. It's just breath control It's just breath control Just breath control It's just breath control  When it was over, I slipped off the skins And drowned them in the river where we used to swim And a year later in a shop, I was stopped by a man  He said, ""I know you're looking for something that's hard to find And I think I have what you have in mind."" And he led me to a glass case and looked deep into my face...  ""It's just control."""
angry_all/Bring Me To Life.mp3,Evanescence,Bring Me To Life,"How can you see into my eyes like open doors? Leading you down into my core where I've become so numb Without a soul, my spirit sleeping somewhere cold Until you find it there and lead it back home  (Wake me up) Wake me up inside (I can't wake up) Wake me up inside (Save me) Call my name and save me from the dark (Wake me up) Bid my blood to run (I can't wake up) Before I come undone (Save me) Save me from the nothing I've become  Now that I know what I'm without You can't just leave me Breathe into me and make me real Bring me to life  (Wake me up) Wake me up inside (I can't wake up) Wake me up inside (Save me) Call my name and save me from the dark (Wake me up) Bid my blood to run (I can't wake up) Before I come undone (Save me) Save me from the nothing I've become  Bring me to life (I've been living a lie, there's nothing inside) Bring me to life  Frozen inside without your touch Without your love, darling Only you are the life among the dead  All this time I can't believe I couldn't see Kept in the dark but you were there in front of me I've been sleeping a thousand years, it seems Got to open my eyes to everything Without a thought, without a voice, without a soul Don't let me die here (There must be something more) Bring me to life  (Wake me up) Wake me up inside (I can't wake up) Wake me up inside (Save me) Call my name and save me from the dark (Wake me up) Bid my blood to run (I can't wake up) Before I come undone (Save me) Save me from the nothing I've become  Bring me to life I've been living a lie, there's nothing inside Bring me to life"
angry_all/Burn.mp3,Nine Inch Nails,Burn,"This world rejects me This world threw me away This world never gave me a chance This world's gonna have to pay  I don't believe in your institutions I did what you wanted me to I'm like the cancer in your system I've got a little surprise for you  Something inside of me has opened up its eyes Why did you put it there? Did you not realize? This thing inside of me, it screams the loudest sound Sometimes I think I could Burn Burn  I look down there where you're standing Flock of sheep out on display With all your lies propped up around you I can take it all away  Something inside of me has opened up its eyes Why did you put it there? Did you not realize? This thing inside of me, it screams the loudest sound Sometimes I think I could I'm gonna burn this whole world down I'm gonna burn this whole world down  I never was a part of you (burn) I never was a part of you (burn) I never was a part of you (burn) I never was a part of you (burn)  I never was a part of you (burn) I never was a part of you (burn) I never was a part of you (burn) I never was a part of you (burn)  I am your savior (burn) I am corruption (burn) I am the angel (burn) Of your destruction (burn) I am perversion (burn) Secret desire (burn) I am your future (burn) Swallowed up in fire"
angry_all/Caught Out There.mp3,Kelis,Caught Out There,"Yo, this song, yo This song is for all the women out there That have been lied to by their men And I know y'all been lied to over and over again This is for y'all Yo, maybe you didn't break the way you should have broke, yo But I break, know what I am saying, this is how it goes y'all, damn  Last year, Valentine's day, you would spoil me, you say ""Babe, I love you, love you babe I swear"" Held you when you were sick even (sucked your dick) The whole time I think to myself, this isn't fair  What is this I see (No) You don't come home to me (Oh, no) When you don't come home to me (Man) Can't deal, can't bear  You keep tellin' me lies But to your surprise Look, I found her red coat And your (bitch) caught out there  I hate you so much right now I hate you so much right now Ah...  I hate you so much right now I hate you so much right now I hate you so much right now Ah...  I hate you so much right now  So sick of your games, I'll set your truck to flames And watch it blow up, blow up, tell me (How you gonna see her now) So far from sincere (I love you), fabrications in my ear Drive me so far up the wall, I come slidin' down  What is this I see (I don't believe this) You don't come home to me When you don't come home to me I can't deal, can't bear (I won't)  You keep tellin' me lies But to your surprise Look, I hope you're happy Since you're caught out there  Yeah, you've been caught Yo', come on Come on  I hate you so much right now I hate you so much right now Ah...  I hate you so much right now I hate you so much right now I hate you so much right now Ah...  (She's so) raunchy, so vulgar, not me, why the hell her Look, she dresses (Look at her) a mess, what do you see (I don't know) It's not all about cash (Hell, no), not how much you flash How I dress is a reflection of me  What is this I see You don't come home to me (Uh-uh) When you don't come home to me Can't deal, can't bear (Told you I won't)  You keep tellin' me lies But to your surprise Look, I got somethin' for y'all Since you're caught out there  I hate you so much right now I hate you so much right now Ah...  I hate you so much right now I hate you so much right now I hate you so much right now Ah...  I hate you so much right now I hate you so much right now I hate you so much right now Ah...  I hate you so much right now"
angry_all/Check Yo Self (Remix) ().mp3,Ice Cube,Check Yo Self (Remix),"So come on and chick-ity-check yo self before you wreck yo self  You betta check yo self for you wreck yo self 'Cause I'm bad for your health I come real stealth Droppin' bombs on ya moms, fuck car alarms Do without one mother nigga wit yo Alpine Sold it for six-o, always let tricks know And friends know, we got that indoe Yo I'm not a sucka, sittin' in A House of Pain And no I'm not the butler, I'll cut ya Head-butt ya, you say you can't touch this And I wouldn't touch ya, punk motherfucker Here to let you know boy, oh boy I make dough, but don't call me Dough-Boy This ain't no fuckin' picture A guy or bitch-a, my nigga get wit ya And hit ya, makin' they yack to the neck So you better run a check  So come on and chick-ity-check yo self before you wreck yo self  Tricks wanna step to Cube and then they get played 'Cause they bitch may pullin out a switchblade That's kinda trifle, cause that's a knife-o AK-47, assault rifle Hold the fifty, I'm nifty now, [Watch out now] I hate motherfuckers claimin that they foldin bank But steady talkin' shit in the holdin' tank First you wanna step to me, now your ass screamin for the deputy They send you to Charlie-Baker-Denver row, now the runnin' up in ya slow You're God, used to be the Don Juan, now your name is just Twan Switch it, snap it, rollin' your eyes and neck, you better run a check  So come on and chick-ity-check yo self before you wreck yo self Big dicks in ya ass is bad for your health  If you're foul you better run a make on that license plate you coulda had a V8 Instead of a trey-eight slug to ya cranium I got six and I'm aimin em Will I bus or keep you guessin Cause fuck you and that shit ya stressin Bitch, get off the wood, you no good There goes the neighborhood hooker Go ahead and keep your drawers Givin' up the claps and who needs applause at a Time like this, pop ya coochie and ya dead Bitch is a Miami Hurricane head Sprung, niggas call her lips and lungs Nappy dugout, get the fuck out Cause women like you gets no respect Bitch, you better run a check  So come on and chick-ity-check yo self before you wreck yo self  Cause bitches like you is bad for my health Cause the Lench Mob is bad for ya health  Nine-trey, remix, old school tip, yeah It's like a jungle sometimes it makes me wonder how I keep from goin' under"
angry_all/Da Rockwilder.mp3,Method Man,Da Rockwilder,"Redman: Oh my god, oh my god  Method Man: Aaaow! (Boo!) Uh, uh, yo, uh Microphone checka, swingin' sword lecture Closin' down the sector, supreme neck protector Better warn 'em kid, Mr. Meth's a boiling pot About to blow his lid from the pressure, too hot for TV For cheesy, too many wanna be hard be easy It's all N'together, going all out together It don't take much to please me Still homes I'm never satisfy like the Stones We don't condone bitin' see them selling crossbones Protecting what I'm writing Don't clash with the Titan who blast with a license To kill rap reciting Come on, in the zone with ya nigga from the Group Home TICAL! (Fuck your lifestyle!) *Blows* Put your lights out Get the shit to crackin' got you feenin' with your pipes out Time for some action, surfin' the avenue Mad at you, where I used to battle crews Back when Antoinette had that attitude Cover me I'm going in, walls closing in Got us bustin' off these pistols My niggas got issues, again, same song Armed with the mega bomb Blow you out the frame and then I'm gone  Redman: Yo, I was going too but we roam, cellular phones Doc-Meth back in the flesh, blood and bones Don't condone, spit bank loans and homegrown Suckers break like Turbo and Ozone When I grab the broom Moon-walk platoon hawk My goons bark Leave you in a blue lagoon lost (true) Three nines and a glove with Nasu he dying in the car While we behind on the bars Haters don't touch (what?) weigh us both up Now my neighbor doped up got the cable hooked up All channels Lift my shirt all mammal You ship off keys and we ship Grand Pianos Sawed off shotgun Hand on the pump Sippin' on a forty Yo smokin' on a blunt Bust my gun and Red and Meth gettin' jumped La, la, la, la, la, la, la, laaaaa Yeah come on, Red and Meth gettin' jumped La, la, la, la, la, la, la, laaaaa"
angry_all/Damaged People (Live In Milan).mp3,Depeche Mode,Damaged People (Live In Milan),"We're damaged people, drawn together By subtleties that we are not aware of Disturbed souls playing out forever These games that we once thought we would be scared of  When you're in my arms The world makes sense There is no pretense And you're crying When you're by my side There is no defense I forget to sense I'm dying  We're damaged people, praying for something That doesn't come from somewhere deep inside us Depraved souls trusting in the one thing The one thing that this life has not denied us  When I feel the warmth Of your very soul I forget I'm cold And crying When your lips touch mine And I lose control I forget I'm old And dying"
angry_all/Date With The Night.mp3,Yeah Yeah Yeahs,Date With The Night,"I got a date with the night Putting out my finger Gonna catch the kids dry Gonna walk on water Buying out the fight We're sweatin' in the winter Both thighs squeeze tight  Choke choke choke Choke choke choke Choke choke choke Choke choke choke Choke choke choke Choke  Don't tell me it'll fix her Don't tell me it'll fix her Well just take a bite No hangin' no picture Flyin' out my sight Droppin' brides at the altar Both thighs squeeze tight  Choke choke choke Choke choke choke Choke choke choke Choke choke choke Choke choke choke Choke  I'll set you, I'll set it off I'll set you, I'll set it off I'll set you, I'll set it off I'll set you, I'll set it off, ah ha!  I'll set you, I'll set it off I'll set you, I'll set it off I'll set you, I'll set it off I'll set you, I'll set it off, ah ah!  Buying out the fight Gonna walk on water Gonna catch the kids dry Gonna bend my finger Well, flyin' out my sight We're sweatin' in the winter Both thighs squeeze tight Both thighs squeeze tight Oh, ah"
angry_all/Dead Eyes See No Future.mp3,Arch Enemy,Dead Eyes See No Future,Giving our blood To the doomsday machine Fighting for ravaged land A worthless gain Marching On A Dead End Road.  A violent new disorder Feeding off mistrust Forgot what we were fighting for A worthless aim A victory sinking of despair.  Dead Eyes See No Future Falling from grace We are coming home.  Dead Eyes See No Future Falling from grace We are coming home.  Battalions of hate Seeking shelter in hell Bloodstained memories. Will we ever be forgiven? Our twisted fate Time will tell.  Dead Eyes See No Future Falling from grace We are coming home.  Dead Eyes See No Future Falling from grace We are coming home.  Dead Eyes See No Future Falling from grace We are coming home.  Dead Eyes See No Future.
angry_all/Debaser.mp3,Pixies,Debaser,"Got me a movie, I want you to know Slicing up eyeballs, I want you to know Girlie so groovy, I want you to know Don't know about you  But I am un chien andalusia I am un chien andalusia I am un chien andalusia I am un chien andalusia  Wanna grow up to be, be a debaser (debaser) Debaser (debaser) Debaser (debaser) Debaser (debaser) Debaser (debaser) Debaser (debaser)  Got me a movie, ha ha ha ho Slicing up eyeballs, ha ha ha ho Girlie so groovy, ha ha ha ho Don't know about you  But I am un chien andalusia I am un chien andalusia I am un chien andalusia I am un chien andalusia  (Debaser) Debaser (Debaser) Debaser (Debaser) Debaser (Debaser) Debaser (Debaser) Debaser (Debaser) Debaser"
angry_all/Doll Parts.mp3,Hole,Doll Parts,"I am Doll eyes Doll mouth Doll legs I am Doll arms Big veins Dog bait  Yeah, they really want you They really want you, they really do Yeah, they really want you They really want you, and I do too  I want to be the girl with the most cake I love him so much, it just turns to hate I fake it so real I am beyond fake And someday you will ache like I ache And someday you will ache like I ache And someday you will ache like I ache And someday you will ache like I ache Someday you will ache like I ache  I am doll parts Bad skin Doll heart It stands For knife For the rest Of my life  Yeah, they really want you They really want you, they really do Yeah, they really want you They really want you, but I do too  I want to be the girl with the most cake He only loves those things because he loves to see them break I fake it so real I am beyond fake And someday you will ache like I ache And someday you will ache like I ache Someday you will ache like I ache And someday you will ache like I ache! And someday you will ache like I ache! And someday you will ache like I ache! And someday you will ache like I ache! Someday you will ache like I ache"
angry_all/Down By The Water.mp3,PJ Harvey,Down By The Water,"I lost my heart Under the bridge To that little girl So much to me And now I moan And now I holler She'll never know Just what I found  That blue-eyed girl (that blue-eyed girl) She said no more (she said no more) That blue-eyed girl (that blue-eyed girl) Became blue-eyed whore ('came blue-eyed whore) Down by the water (down by the water) I took her hand (I took her hand) Just like my daughter (just like my daughter) I'll see her again (see her again)  Oh help me, Jesus Come through this storm I had to lose her To do her harm I heard her holler (I heard her holler) I heard her moan (I heard her moan) My lovely daughter (my lovely daughter) I took her home (I took her home)  Little fish, big fish, swimming in the water Come back here, man, gimme my daughter Little fish, big fish, swimming in the water Come back here, man, gimme my daughter  Little fish, big fish, swimming in the water Come back here, man, gimme my daughter Little fish, big fish, swimming in the water Come back here, man, gimme my daughter  Little fish, big fish, swimming in the water Come back here, man, gimme my daughter Little fish, big fish, swimming in the water Come back here, man, gimme my daughter  Little fish, big fish, swimming in the water Come back here, man, gimme my daughter Little fish, big fish, swimming in the water Come back here, man, gimme my daughter"
angry_all/Dress.mp3,P J Harvey,Dress,Put on that dress I'm going out dancing Starting off red Gleam and sparkling he'll see me Music play make me dreamy for dancing Must be a way that I can dress to please him It's hard to walk and the dress is not easy I'm swinging over like a heavy loaded fruit tree  If you put it on If you put it on If you put it on If you put it on  It's sad to see Lonely or this lonely Close up my eyes Dreamy dreamy music make it be alright Music play make it good for romancing Must be a way I can dress to please him Swing and sway everything will be alright But he's feeling so down tight tonight  If you put it on If you put it on If you put it on If you put it on  You pretty thing My man says But I bought you beautiful dresses You pretty thing My man says But I bought you beautiful dresses  Filthy type your dress is filthy I'm falling flat and my arms are empty Get away better get it out of this room A fallen woman in dancing costume  If you put it on If you put it on If you put it on If you put it on If you put it on If you put it on If you put it on If you put it on
angry_all/Dry.mp3,PJ Harvey,Dry,I caught it in the face Coming around again I thought it was worth waiting You're caught up in my head Wet sides from time to time But mostly I'm just dry  You leave me dry You leave me dry You leave me dry  You've come all this way No hair out of place You put it on the stage You put right in my face  You leave me dry You leave me dry You leave me dry  No water well in sight No water at my sides I'm sucking on the well I'm sucking till I'm white  But you leave me dry You leave me dry You leave me dry You leave me dry You leave me dry
angry_all/Electioneering.mp3,Radiohead,Electioneering,"I will stop I will stop at nothing Say the right things When electioneering I trust I can rely on your votes  When I go forwards you go backwards And somewhere we will meet When I go forwards you go backwards And somewhere we will meet  Riot shields Voodoo economics, it's just, it's just It's just business Cattle prods and the IMF I trust I can rely on your votes  When I go forwards you go backwards And somewhere we will meet When I go forwards you go backwards And somewhere we will meet"
angry_all/Electric Light.mp3,PJ Harvey,Electric Light,"The beauty of her, under electric light The beauty of her, under electric light Tears my heart out every time  Dawn There waiting, right outside  Dawn There waiting, right outside  She tears my heart out every time  Siren rising across the sky Sirens rising across the sky Tears my heart out every time"
