f_name,a_name,title,lyrics
sad_all/Colors And The Kids.mp3,Cat Power,Colors And The Kids,It must be the colors And the kids That keep me alive 'Cause the music is boring me to death  It must just be the colors And the kids that keep me alive 'Cause I wanna go ride away To a January night Built a shack with an old friend He was someone I could learn from Someone I could become  Will you meet me down On a sandy beach We can roll up our jeans So the tide won't get us below the knees  Yellow hair You are a funny bear Yellow hair You are such a funny bear Slender fingers Would hold me slender limbs would hold me And you could say my name Like you knew my name  I could stay here Become someone different I could stay here Become someone better  It's so hard to go in the city 'Cause you wanna say hello to everybody It's so hard to go into the city 'Cause you wanna say hey I love you to everybody When we were teenagers we wanted to be the sky Now all we wanna do is go to red places And try to stay outta hell  It must be the colors And the kids That keep me alive 'Cause the music is boring me to death  It must just be the colors And it must just be the kids That keep me alive on this January night.  Yellow hair You are a funny bear Yellow hair You are such a funny bear
sad_all/Complete Shakeup.mp3,Travel By Sea,Complete Shakeup,
sad_all/Crying Won't Help You.mp3,Robert Nighthawk,Crying Won't Help You,
sad_all/Dear god.mp3,timo tolkki,Dear god,"Why is the sky so blue? Why are the trees so green? Why clouds exist?  Where did all this come from? The nature, planets, universe It makes me wonder  The things that I see and feel are they real? It's so hard for me to comprehend what life is all about In the middle of the chaos where's the truth? Tell that to me dear god  Am I just your puppet or Do I have a will of my own? I'm asking now  And tell me why a four year old dies in cancer? Please explain that to me  What's the reason for all this suffering? Did you just fuck things up Or are you there at all? Why would we need you anyway? Tell that to me dear god  Maybe all this is in vain You're not there so I create my own world I leave all bullshit to you I don't try to save the world anymore Do you hear me you fuck? Give me some answers and stop hiding! Am I just an air molecule to you? What are we to you? Just ants? What are we doing here?"
sad_all/Death Is The End.mp3,iLiKETRAiNS,Death Is The End,"Fate smile at it's funny little ways As it put pay to a promising career  They prophesied of their own demise It was too good to resist It was too good to resist  Death it is the end more or less  As you lie here, does it feel As if it was such a good idea In tempting fate Are you sorry now? Are you sorry now?  Death it is the end or less A funeral train rotting flesh It is the end or less a funeral train rotting flesh It is the end or less a funeral train rotting flesh It is the end or less a funeral train rotting flesh Is the end or less a funeral train rotting flesh It is the end or less a funeral train rotting flesh It is the end or less a funeral train rotting flesh It is the end"
sad_all/Deeper Into You.mp3,TRUSTcompany,Deeper Into You,I feel it eating in me  While you still drown me And cross the line over  And over again It's all around me  Now I'm here cause of you  Now I'm falling  I'm falling out cause of you Now I'm falling  Deeper into you  Time to pity myself  I can't let me  Cross the line for her I'm not me when I dream There's someone else in me That I fear cause of you  Now I'm falling  I'm falling out cause of you Now I'm falling  Deeper into you  I'm not me when I dream  I'm not me when I dream Anymore Cause of you  Now I'm falling  I'm falling out cause of you Now I'm falling  I'm falling out cause of you Now I'm falling  I'm falling out cause of you Now I'm falling  Deeper into you
sad_all/Don't Let The Teardrops Rust Your Shining Heart.mp3,Holly Cole,Don't Let The Teardrops Rust Your shining heart,
sad_all/Dumb.mp3,Nirvana,Dumb,"I'm not like them, I can pretend The sun is gone, I have a light The day is done, I'm having fun I think I'm dumb, maybe just happy Think I'm just happy Think I'm just happy Think I'm just happy  My heart is broke, I have some glue Help me inhale, mend it with you We float around, hang out on clouds Then we'll come down, have a hangover  Have a hangover Have a hangover Have a hangover  Skin the sun, fall asleep Wish away, soul is cheap Lesson learned, wish me luck Soothe the burn, wake me up  I'm not like them, I can pretend The sun is gone, but I have a light The day is done, but I'm having fun I think I'm dumb, maybe just happy Think I'm just happy Think I'm just happy Think I'm just happy  I think I'm dumb I think I'm dumb I think I'm dumb I think I'm dumb I think I'm dumb I think I'm dumb I think I'm dumb I think I'm dumb I think I'm dumb I think I'm dumb I think I'm dumb I think I'm dumb"
sad_all/Elizabeth on the Bathroom Floor.mp3,Eels,Elizabeth on the Bathroom Floor,"Laying on the bathroom floor Kitty licks my cheek once more  And I, I could try But waking up is harder when you wanna die  Walter's on the telephone Tell him I am not at home  'Cause I think that I Am going to a place where I am always high  My name's Elizabeth My life is shit and piss"
sad_all/End Of The Sky.mp3,Lighthouse Family,End Of The Sky,"Would you like to go somewhere unbelievable? Where the great big blue sky seems to last forever 'Cause I feel like I'll leave it all behind Living in the sunshine, that's where I'm going And I don't think there's anything here that I'll be missing, do you? No, I don't think there's anything else to do  So bring on the sunshine We're gonna fly to the end of the sky  I've got to go 'cause I ain't indestructible And I feel like I'm breaking Running round for nothing But I'll be all right I'm not a million miles from seeing the daylight That's where I'm going  And I don't think there's anything here that I'll be missing, do you? No, I don't think there's anything else to do  So bring on the sunshine We're gonna fly to the end of the sky  Bring on the sunshine We're gonna fly to the end of the sky  So bring on the sunshine We're gonna fly to the end of the sky  Bring on the sunshine We're gonna fly to the end of the sky  So bring on the sunshine We're gonna fly to the end of the sky"
sad_all/Fee Fi Fo.mp3,The Cranberries,Fee Fi Fo,"Fee fi fo she smells his body  She smells his body And it makes her sick to her mind He has got so much to answer for To answer for, To ruin a child's mind  How could you touch something So innocent and pure Obscure How could you get satisfaction From the body of a child You're vile, sick  It's true what people say God protect the ones who help themselves In their own way It's true what people say God protect the ones who help themselves In their own way  He was sitting in her bedroom In her bedroom And now what should she do She's got so much insecurity And his impurity It was a gathering gloom  How could you touch something So innocent and pure Obscure How could you get satisfaction From the body of a child You're vile, sick  Fee fi fo x4"
sad_all/Fight The Feeling.mp3,The Music,Fight The Feeling,"I've been waiting Searching, lonely Take me walking Underneath the stars Love is here No end They'll hold us here forever Just you wait and see The sky is just a diamond Reflecting the sea  Darkness edging closer to me Talk to no one Tell them nothing Fight the feeling Don't you bear your soul Love is here No end They'll hold us here forever Just you wait and see The sky is just a diamond Reflecting the sea  Die, Die  Ooh Love is here No end They'll hold us here forever Just you wait and see The sky is just a diamond Reflecting the sea They'll hold us here forever Just you wait and see The sky is just a diamond Reflecting the sea"
sad_all/Five-O.mp3,James,Five-O,"Are you open for trade Your salvation, for something, for some thrills? Is a body of work for your inspection You can trace, trace my concern My concern  I've been looking for truth At the cost of living I've been afraid Of what's before mine eyes Every answer found Begs another question The further you go, the less you know The less I know  I can feel your face Gonna make it mine I can be the man I see in your eyes Can you take my weight? Are we both too small? Know each other well We've met before  Will we grow together? Will it be a lie? If it lasts forever, hope I'm the first to die Will you marry me? Can we meet the cost? Is the power of love worth the pain of loss? Can you pay the bill? Will you keep the change? Are you here for the party? Or are you here for the pain?  I can feel the faith Gonna make it mine I can be the man I see in your eyes Will they grow together? Will we be a lie? If it lasts forever, hope I'm the first to die Hope I'm the first to die"
sad_all/Flugzeuge Im Bauch (Live).mp3,Herbert Gr,Flugzeuge Im Bauch (Live),
sad_all/Fool.mp3,Donavon Frankenreiter,Fool,"Oh baby, why did you treat me like a fool Oh baby, why did you treat me like a fool  'Cause I ain't never done nothing You know I ain't done nothing to you  Oh Baby, why do you do those things you do Oh Baby, why do you do those things you do  'Cause I ain't never done nothing And no I ain't done nothing to you I keep askin' why  Oh baby, why did you treat me like a fool Oh baby, why did you treat me like a fool  'Cause I ain't never done nothing And no I ain't done nothing to you And I keep askin' why  I Keep askin' why She gonna treat me like a fool like that Why you treat me like a fool like that And I keep askin' why girl"
sad_all/Get Back.mp3,Neva Dinova ,Get Back,"As if I hadn't learned it before. I tried my hardest to keep it all in, but I ain't keeping it in no more. Made mistakes every day, and I learned from two, keep those that you love, the furthest from you, and try to take care of them too. It's just a feeling I had, and it ain't what I think I should do, pluck out my heard and I'll give it to you, and you'll get more use from yours too. Get back, I'm too tired to go home and I'm too lost and alone. I looked in the mirror on the back of your door, all my weaknesses show. There's a bomb going off, out in the yard of the house, when we worked so hard to pull all the weeds out, what were we talking about. Get back."
sad_all/Ghost Of You And Me.mp3,BBMak,Ghost Of You And Me,"What am I supposed to do With all these blues Haunting me everywhere No matter what I do  Watching the candle flicker out In the evening glow I can't let go When will the night be over  I didn't mean to fall in love with you And baby there's a name For what you put me through It isn't love, it's robbery I'm sleeping with the ghost of you and me  Seen a lot of broken hearts Go sailing by Phantom ships lost at sea And one of them is mine  Raising my glass I sing a toast to the midnight sky I wonder why The stars don't seem to guide me  I didn't mean to fall in love with you And baby there's a name For what you put me through It isn't love, it's robbery I'm sleeping with the ghost of you and me  The ghost of you and me When will it set me free I hear the voices call Following footsteps down the hall Trying to save what's left Of my heart and soul  Watching the candle flicker out In the evening glow I can't let go When will the night be over  I didn't mean to fall in love with you And baby there's a name For what you put me through It isn't love, it's robbery I'm sleeping with the ghost of you and me"
sad_all/Girl Like You.mp3,Donavon Frankenreiter,Girl Like You,I never thought it'd happen to me I've been looking all my life just to be Be next to someone I could call my own You know it feels so good not to be alone  But you know I never Thought I would find A girl like you I could call all mine I said I never Thought I would find A girl like you I could call all mine  My girl's just so sweet I never thought I could ever meet But now it's you I can't live without If you ever left I'd be down and out  But you know I never Thought I would find A girl like you I could call all mine I said I never Thought I would find A girl like you I could call all mine I'd call all mine  Oh baby what did you say When you woke up the other day You said it's you I'd never leave I don't want to live my life the way it use to be  But you know I never thought I would find A girl like you I could call all mine I said I never thought I would find A girl like you I could call all mine I said I never thought I would find A girl like you I could call all mine You know I never thought I would find A girl like you I could call all mine Call all mine
sad_all/Global Cut.mp3,Slut,Global Cut,"These are the walls That will border my world now These are the corners Where I can retire These are the streets I will slowly explore right now  These are the clouds That belong to my sky now These are the frames Right in front of my eyes This is what they call freedom Right here, right now  These are the feelings I'll keep like a secret These are the words I don't need to explain These are my hopes I'll enjoy like a breakfast now  Please stop missing me Stop missing me Stop missing me now  Please stop missing me Stop missing me Stop missing me now  These are containers For all my desires now These are the strangers I want to discover These are the news I don't want you to hear Some situations I don't really want to know  Please stop missing me Stop missing me Stop missing me now  Please stop missing me Stop missing me Stop missing me now  Would you please stop missing me Stop missing me Stop missing me now  Please stop missing me Stop missing me Stop missing me now  Would you please stop missing me Stop missing me Stop missing me now  Please stop missing me Stop missing me Stop missing me now"
sad_all/Good Times Are Gone.mp3,The Bates,Good Times Are Gone,You say you had enough from me You just can't go on You say that I'm looser And all I do is wrong You say you play my ... Baby that's true I could never buy you diamond ring But I will steal it for you  I was ... your superman And you was ... my queen Now you look for the money-man ... You say you play my ... Baby that's true I could never buy you diamond ring But I will steal it for you  The good times are gone Too many things were wrong The good times are gone  You don't get excited When I call your name Now it's only the shame Don't tell me I'm guilty I know it better now It was 50/50 I will get out that somehow  The good times are gone Too many things were wrong The good times are gone  You say you had enough from me You just can't go on You say that I'm looser And all I do is wrong Don't tell me I'm guilty I know it better now It was 50/50 I will get out that somehow  The good times are gone Too many things were wrong The good times are gone  The good times are gone Too many things were wrong The good times are gone
sad_all/Goodnight Goodnight.mp3,Maroon 5,Goodnight Goodnight,"You left me hanging from a thread  We once swung from together I lick my wounds But I can't ever see them getting better Something's gotta change Things cannot stay the same  Her hair was pressed against her face Her eyes were red with anger Enraged by things unsaid  And empty beds and bad behavior Something's gotta change It must be rearranged, ohh  I'm sorry I did not mean to hurt my little girl It's beyond me I cannot carry the weight of the heavy world So goodnight, goodnight, goodnight, goodnight Goodnight, goodnight, goodnight, goodnight Goodnight, hope that things work out all right, yeah  Oh, the room was silent  As we all tried so hard to remember The way it feels to be alive The day that he first met her Something's gotta change Things cannot stay the same  You make me think of someone wonderful But I can't place her I wake up every morning  Wishing one more time to face her Something's gotta change It must be rearranged, ohh  I'm sorry I did not mean to hurt my little girl It's beyond me I cannot carry the weight of the heavy world So goodnight, goodnight, goodnight, goodnight Goodnight, goodnight, goodnight, goodnight Goodnight, hope that things work out all right  So much to love, so much to learn But I won't be there to teach you Oh, I know I can be close But I'll try my best to reach you  I'm so sorry I did not mean to hurt my little girl It's beyond me I cannot carry the weight of the heavy world So goodnight, goodnight, goodnight, goodnight Goodnight, goodnight, goodnight, goodnight Goodnight, goodnight, goodnight, goodnight Goodnight, hope that things work out all right, yeah Ohh..."
sad_all/Hidden Song.mp3,Angela Mc Cluskey,Hidden Song,
sad_all/High Above The Ground.mp3,The Bates,High Above The Ground,What do you want from me I got no comfort for you I got no love for you I don't love you anymore  I'm high above the ground Nothing can stop me at all You can't bring me down  What do you want from me Got no compassion for you I got no love for you I don't love you anymore  I'm high above the ground Nothing can stop me at all You can't bring me down  I'm high above the ground Nothing can stop me at all You can't bring me down
sad_all/Higher Power.mp3,Mark Salling,Higher Power,"Hey Are you feeling sad today Did you catch the one you're wanting Just to let them get away Everyone becomes a therapist You can't afford to pay You're going insane  So, maybe something's wrong with you Seems the world becomes disinterested in everything you do And if your dream is to be lonely then I guess it's coming true Are you alive Are you even alive Because  Love is an impossible I have seen her Broken and beautiful Rising up above my remaining ashes Kneel Higher power  Now, nothing's left to do but wait With no distraction from yourself it's time to re-evaluate You should make your peace with God Or maybe focus on career But one thing is for certain There is nothing for you here  So go There's so many things to see Just beyond the song of darkness that is permeating me Just because I'm a prisoner don't mean that you're not free When we met you were blind Now I'm praying that you see That  Love is an impossible I have seen her Broken and beautiful Rising up above my remaining ashes Kneel Higher power Love is an impossible I have seen her Broken and beautiful Rising up above my remaining ashes Kneel Higher power  Love is an impossible I have seen her Broken and beautiful Rising up above my remaining ashes Kneel Higher power Love is an impossible I have seen her Broken and beautiful Rising up above my remaining ashes Kneel Higher power"
sad_all/Horses In My Dreams.mp3,PJ Harvey,Horses In My Dreams,"Horses in my dreams Like waves, like the sea They pull out of here They pull, they are free  Rode a horse 'round the world Along the tracks of a train Broke the record, found the gold Set myself free again  I have pulled myself clear I have pulled myself clear I have pulled myself clear silent I have pulled myself clear  Horses in my dreams Like waves, like the sea On the tracks of a train Set myself free again  I have pulled myself clear I have pulled myself clear I have pulled myself clear silent I have pulled myself clear"
sad_all/I Can't Unlove You.mp3,Kenny Rogers,I Can't Unlove You,"Postcards and letters And pictures made to last forever To be boxed up and tossed away Knickknacks and souvenirs In an afternoon, they're out of here They'll disappear without a trace But what they mean to me Can never be replaced  I can't unthink about you I can't unfeel your touch I can't unhear all the words Unsay all the things That used to mean so much I wish I could unremember Everything my heart's been through And finding out it's impossible to do Oh, it's no use I can't unlove you  Interstates and old songs Like time, they go on and on I guess I could learn to do the same I could wake up without you With these two arms not around you Tell myself it's meant to be this way No matter how I try some things I can't change  I can't unthink about you I can't unfeel your touch I can't unhear all the words Unsay all the things That used to mean so much I wish I could unremember Everything my heart's been through And finding out it's impossible to do Oh, no Oh, it's no use I can't unlove you  I wish I could unremember Everything my heart's been through And finding out it's impossible to do Oh, no, it's no use I can't unlove you"
sad_all/I See You Everywhere.mp3,Chris De Burgh,I See You Everywhere,"I see you everywhere, I see your eyes, I touch your hair, You took me on a highway to the stars, and left me halfway there;  I hold you in my dreams, your tender kiss is never what it seems, 'Cause when I wake up in the morning sun, I look, but you're not there;  I cannot believe this has happened to me, It's been heaven in your arms, You gave me so much, with an angels touch, And then you took my heart;  I see you in the street, and people turning at my running feet, But when I get up close a stranger's eyes, are looking back at me;  Oh I cannot believe this has happened to me, It's like heaven for one day. You left me like this with an angels kiss, And then you flew away;  I see you everywhere, I see your eyes, I touch your hair, I'm gonna take that highway to the stars, And I will find you there;  I see you everywhere, I see you everywhere, I see you everywhere, I see you everywhere...  Everywhere... And when I'm looking for you, I'm gonna find you, And when I find you I am, I'm gonna hold you, And when I hold you I am, I'm gonna love you, And when I love you it will, it will be forever...  Everywhere... I see you... everywhere..."
sad_all/I Was Young When I Left Home.mp3,Antony ,I Was Young When I Left Home,"I was young when I left home And I been a-rambling 'round And I never wrote a letter to my home To my home, Lord, to my home And I never wrote a letter to my home  It was just the other day I was bringing home my pay When I met an old friend I used to know Said your mother's dead and gone Baby sister's all gone wrong And your daddy needs you home right away  Not a shirt on my back Not a penny on my name But I can't go home this way This way, Lord, this way Lord, I can't go home this way  If you miss the train I'm on Count the days I'm gone You will hear the whistle blow a hundred miles Hundred miles, honey baby, Lord Lord Lord And you'll hear that whistle blow a hundred miles  And I'm playing on a track Ma would come and whoop me back On them trussels down by old Jim McKay's When I pay the debt I owe To the commissary store I will pawn my watch and chain and go home Go home, Lord Lord Lord I will pawn my watch and chain and go home  Used to tell ma sometimes When I see them riding blind Gonna make me a home out in the wind In the wind, Lord, Lord, in the wind Gonna make me a home out in the wind  I don't like it in the wind I'm a-go back home again But I can't go home this way Thisaway, Lord, this way Lord, I can't go home this way  I was young when I left home And I been all rambling 'round And I never wrote a letter to my home To my home, Lord Lord Lord And I never wrote a letter to my home"
sad_all/I'll Be Home For Christmas (Album Version).mp3,Josh Groban,I'll Be Home For Christmas (Al,I'll be home for Christmas You can count on me Please have snow and misltetoe And presents on the tree Christmas Eve will find me With a love like me I'll be home for Christmas If only in my dreams    Choir Sings: I'll be home for Christmas There'll be snow and mistletoe  Martina Sings: Christmas Eve wil find me With a love like me I'll be home for Christmas If only in my dreams If only in my dreams
