stem,word
infin,infinity
free,free
redempt,redemption
spill,spill
boulevard,boulevard
evil,evil
silent,silent
ate,ate
sunshin,sunshine
puzzl,puzzle
ritual,ritual
cosmic,cosmic
ist,ist
rais,raise
hopeless,hopeless
loud,loud
bite,bite
fantasi,fantasy
rang,range
slept,slept
trembl,tremble
independ,independent
wast,waste
system,system
wash,wash
alreadi,already
thick,thick
agre,agree
hood,hood
inch,inch
top,top
sometim,sometimes
fiction,fiction
tabl,table
toi,toi
ton,ton
dwell,dwell
bitter,bitter
tod,tod
listen,listen
murder,murder
consol,consolation
tool,tool
took,took
wisdom,wisdom
western,western
crawl,crawl
cri,cry
preacher,preacher
bitt,bitte
silli,silly
target,target
thirsti,thirsty
provid,provide
coward,coward
tra,tra
tree,tree
hors,horse
shower,shower
matter,matter
flame,flame
ancora,ancora
k,k
minut,minute
rag,rag
fashion,fashion
ran,ran
mina,mina
mind,mind
mine,mine
drip,drip
raw,raw
rat,rat
seed,seed
rap,rap
seen,seen
seem,seems
seek,seek
salvat,salvation
strength,strength
realm,realm
alibi,alibi
especi,especially
snow,snow
chest,chest
hum,hum
rider,rider
blue,blue
plenti,plenty
though,though
scienc,science
object,object
sue,sue
mouth,mouth
addict,addicted
letter,letter
phase,phase
coin,coin
grave,grave
glow,glow
tradit,tradition
singer,singer
excus,excuse
dom,dom
alarm,alarm
nei,nei
metal,metal
dog,dog
freeway,freeway
declar,declare
dor,dor
dos,dos
left,left
scream,scream
came,came
job,job
beaten,beaten
bomb,bomb
opposit,opposite
queen,queen
pave,paved
lee,lee
sanctuari,sanctuary
radio,radio
earth,earth
bail,baile
toast,toast
och,och
politician,politicians
spite,spite
explain,explain
releas,release
bust,bust
sugar,sugar
bush,bush
busi,business
bliss,bliss
rich,rich
mend,mend
waltz,waltz
di,di
nasti,nasty
de,de
watch,watch
da,da
pocket,pocket
doigt,doigts
bat,bat
bar,bar
bas,bas
sacrific,sacrifice
probabl,probably
twice,twice
bad,bad
coke,coke
steal,steal
steam,steam
bah,bah
vampir,vampire
fair,faire
liquor,liquor
parol,parole
light,light
resist,resist
structur,structure
respons,responsible
fail,fail
foss,fosse
hammer,hammer
best,best
subject,subject
awar,aware
said,said
onto,onto
away,away
sail,sail
mud,mud
bien,bien
score,score
finger,fingers
awak,awake
drawn,drawn
mun,mun
approach,approach
warrior,warrior
men,men
wa,wa
sera,sera
weak,weak
boss,boss
posit,position
lazi,lazy
devour,devour
wear,wear
unfold,unfold
intox,intoxicated
news,news
debt,debt
roller,roller
weari,weary
cop,cops
cos,'cos
cor,cor
ell,elle
cow,cow
fault,fault
ill,ill
piti,pity
logic,logic
countri,country
col,col
con,con
compromis,compromise
skill,skills
assur,assured
tough,tough
alleluia,alleluia!
pose,pose
vain,vain
height,heights
creat,create
lick,lick
paradis,paradise
trumpet,trumpet
trust,trust
assum,assume
speak,speak
fra,fra
reveng,revenge
sam,sam
beef,beef
hay,hay
union,union
fri,fry
sal,sal
three,three
beer,beer
much,much
interest,interest
pro,pro
tini,tiny
threw,threw
funer,funeral
life,life
spit,spit
prison,prison
anywher,anywhere
fest,fest
lift,lift
alley,alley
child,child
catch,catch
suav,suave
chill,chill
ugli,ugly
save,save
tank,tank
servic,service
gasolin,gasoline
lullabi,lullaby
air,air
aim,aim
near,near
neat,neat
aid,aids
possess,possess
vagu,vague
anchor,anchor
spawn,spawn
histori,history
stink,stink
dizzi,dizzy
sting,sting
shame,shame
brake,brakes
jest,jest
amour,amour
id,id
disappear,disappear
grown,grown
harmoni,harmony
credit,credit
perform,perform
make,make
mayb,maybe
wound,wounds
complex,complex
descend,descend
jungl,jungle
success,success
superman,superman
jama,jamas
wheel,wheel
fuss,fuss
evid,evidence
social,social
rail,rail
rain,rain
hand,hand
delight,delight
fuse,fuse
jealous,jealous
tide,tide
blister,blisters
tune,tune
butter,butter
groovi,groovy
dado,dado
kept,kept
soak,soaked
bewar,beware
placer,placer
taint,tainted
ocean,ocean
contact,contact
mamma,mamma
thi,thy
mother,mother
everyth,everything
rout,route
tha,tha
background,background
yea,yea
photo,photo
enjoy,enjoy
forsaken,forsaken
monkey,monkey
farther,farther
human,human
yes,yes
yer,yer
sleepi,sleepy
yet,yet
languag,language
han,han
ideal,ideal
sensat,sensation
shout,shout
spread,spread
board,board
endur,endure
els,else
hat,hat
gave,gave
lake,lake
seel,seele
vaniti,vanity
birth,birth
dreamt,dreamt
shadow,shadows
burnt,burnt
rumor,rumors
apart,apart
shoulder,shoulder
measur,measure
gift,gift
hunt,hunt
negat,negative
remind,remind
pavement,pavement
confid,confidence
night,night
hung,hung
amor,amor
soar,soar
jean,jeans
right,right
old,old
deal,deal
fold,fold
crown,crown
somehow,somehow
dead,dead
revel,revelation
intern,international
dear,dear
bore,bored
bord,bord
creep,creep
ich,ich
bottom,bottom
drove,drove
ice,ice
foe,foe
fog,fog
overcom,overcome
convict,conviction
creatur,creature
leak,leak
bold,bold
peel,peel
insecur,insecure
buri,bury
corp,corps
keeper,keeper
post,post
super,super
describ,describe
silhouett,silhouette
coast,coast
cowboy,cowboy
conceal,conceal
year,years
choke,choke
surround,surround
dinner,dinner
despair,despair
plus,plus
horizon,horizon
cherish,cherish
commit,commit
produc,produced
telephon,telephone
sock,sock
float,floating
bound,bound
son,son
loin,loin
sou,sou
sow,sow
wrap,wrapped
chime,chime
encor,encore
stall,stall
mass,mass
east,east
crowd,crowd
wah,wah
frustrat,frustration
support,support
transform,transform
sunlight,sunlight
happi,happy
stuck,stuck
reli,rely
fought,fought
gib,gib
way,way
wax,wax
jane,jane
call,call
wat,wat
war,war
wrote,wrote
everlast,everlasting
head,head
form,form
offer,offer
forc,force
deaf,deaf
heal,heal
forg,forged
fore,'fore
jive,jive
heat,heat
hear,hear
sparkl,sparkle
true,true
fort,fort
viva,viva
electr,electric
duel,duele
vive,vive
born,born
daddi,daddy
whiskey,whiskey
absenc,absence
trist,triste
retir,retire
lili,lily
petit,petit
nobodi,nobody
unholi,unholy
sale,sale
miro,miro
exist,exist
cocain,cocaine
glanc,glance
prayer,prayer
furi,fury
desir,desire
ship,ship
mold,mold
trip,trip
inde,indeed
leer,leer
floor,floor
na,na
stake,stake
ne,ne
actor,actor
til,'til
flood,flood
tin,tin
role,role
communic,communication
tumbl,tumble
test,test
tie,tied
smell,smell
roll,roll
realiti,reality
tame,tame
fou,fou
felt,felt
fell,fell
intent,intentions
reign,reign
consid,consider
balloon,balloon
billion,billion
grief,grief
younger,younger
receiv,receive
rabbit,rabbit
longer,longer
bullet,bullet
glass,glass
salt,salt
essenc,essence
jacket,jacket
rough,rough
ignor,ignore
time,time
push,push
serious,serious
backward,backwards
daili,daily
gown,gown
chain,chain
skip,skip
rob,rob
celebr,celebrate
focus,focus
invent,invented
mile,miles
skin,skin
amar,amar
chair,chair
rot,rot
milk,milk
row,row
decid,decide
middl,middle
zone,zone
flash,flash
father,father
decis,decision
rhythm,rhythm
retreat,retreat
shoot,shoot
sourc,source
string,string
jerk,jerk
distant,distant
mourn,mourning
condit,condition
cook,cook
join,join
blast,blast
exact,exactly
rapper,rappers
cool,cool
dim,dim
din,din
captiv,captive
hour,hour
level,level
tear,tears
die,die
dig,dig
p,p
statu,statue
gut,gut
quick,quick
tongu,tongue
guy,guy
dip,dip
round,round
dis,dis
shave,shave
brave,brave
regret,regret
core,core
trend,trend
sigh,sigh
sign,sign
cost,cost
worn,worn
patient,patiently
helpless,helpless
bake,bake
port,porte
malo,malo
mister,mister
mall,mall
melt,melt
uniform,uniform
current,current
ancient,ancient
indiffer,indifference
order,order
corn,corn
burn,burn
hart,hart
water,water
witch,witch
deceit,deceit
along,along
teacher,teacher
wait,waiting
box,box
boy,boy
insan,insane
fenc,fence
shove,shove
invit,invitation
bop,bop
shift,shift
culpa,culpa
bow,bow
trial,trial
patienc,patience
bom,bom
bon,bon
boo,boo
dusti,dusty
colleg,college
bob,bob
deg,deg
guilti,guilty
pillow,pillow
love,love
extra,extra
rattl,rattle
prefer,prefer
fake,fake
fool,fool
peep,peep
market,market
bloodi,bloody
wealth,wealth
sake,sake
saddl,saddle
univers,universe
visit,visit
everybodi,everybody
live,live
prey,prey
everywher,everywhere
tape,tape
angri,angry
today,today
capit,capital
riot,riot
club,club
peopl,people
refrain,refrain
clue,clue
downtown,downtown
drown,drown
savior,savior
summertim,summertime
suffoc,suffocate
car,car
prepar,prepared
pretend,pretend
judg,judge
soul,soul
cat,cat
fli,fly
sour,sour
whatev,whatever
purpos,purpose
laughter,laughter
materi,material
heart,heart
stream,stream
chip,chips
stroke,stroke
chin,chin
phrase,phrase
chemic,chemical
stole,stole
tar,tar
pink,pink
winter,winter
soleil,soleil
lifeless,lifeless
foul,foul
write,write
alway,always
anyon,anyone
actual,actually
pure,pure
swore,swore
afternoon,afternoon
map,map
mas,mas
mar,mar
may,may
dive,dive
fed,fed
spot,spot
pattern,patterns
mad,mad
mag,mag
suck,suck
dove,dove
grow,grow
man,man
stress,stress
neck,neck
liquid,liquid
conscious,conscious
confus,confused
goal,goal
secur,security
favorit,favorite
st,st.
tale,tale
inform,information
switch,switch
jail,jail
unleash,unleash
tall,tall
sa,sa
ordinari,ordinary
talk,talk
drunken,drunken
cute,cute
shield,shield
footstep,footsteps
midnight,midnight
agoni,agony
brain,brain
yearn,yearning
aha,aha
lyric,lyrics
cold,cold
still,still
skeleton,skeleton
worship,worship
tore,tore
group,group
thumb,thumb
willow,willow
torn,torn
civil,civil
window,window
whole,whole
maim,m'aimes
mail,mail
main,main
bounc,bounce
insect,insects
augen,augen
non,non
recal,recall
smash,smash
nog,nog
shatter,shattered
sooner,sooner
sol,sol
underneath,underneath
lunch,lunch
loneli,loneliness
conquer,conquer
tax,tax
disappoint,disappointed
twilight,twilight
hall,hall
wont,wont
term,terms
name,name
servant,servant
mellow,mellow
frank,frank
drop,drop
flown,flown
separ,separate
magazin,magazine
savag,savage
careless,careless
rock,rock
nois,noise
collaps,collapse
em,'em
el,el
en,en
eh,eh
replac,replace
torch,torch
yeah,yeah
bodi,body
ey,ey
begun,begun
eu,eu
girl,girl
summon,summon
mommi,mommy
es,es
er,er
album,album
shown,shown
ambit,ambition
stitch,stitch
space,space
profit,profit
astray,astray
flesh,flesh
poco,poco
stell,stelle
uncl,uncle
bless,blessed
correct,correct
romanc,romance
screw,screw
diseas,disease
monster,monster
glimps,glimpse
million,million
seventh,seventh
argu,argue
g,g
rebel,rebel
plea,plea
romant,romantic
grab,grab
card,cards
care,care
imagin,imagine
funki,funky
punk,punk
refus,refuse
honest,honest
motion,motion
turn,turn
place,place
aboard,aboard
swing,swing
preach,preach
think,think
first,first
oper,operator
carri,carry
arriv,arrive
fast,fast
vote,vote
ring,ring
open,open
tomorrow,tomorrow
size,size
sheep,sheep
given,given
chanson,chanson
sheet,sheets
teenag,teenage
caught,caught
breed,breed
plastic,plastic
citi,city
silenc,silence
tragic,tragic
breez,breeze
circl,circle
white,white
las,las
friend,friend
hug,hug
season,season
huh,huh
eagl,eagle
short,short
gin,gin
serv,serve
wide,wide
jealousi,jealousy
r,r
remors,remorse
balanc,balance
sai,sais
ana,ana
angel,angel
slay,slay
saa,saa
sag,sag
slap,slap
sad,sad
sull,sulle
say,say
slam,slam
rent,rent
deliv,deliver
anger,anger
breakfast,breakfast
saw,saw
sat,sat
engin,engine
squar,square
advic,advice
mitt,mitt
kan,kan
zoo,zoo
note,note
satellit,satellite
squad,squad
loca,loca
take,take
fingertip,fingertips
destroy,destroy
concern,concerned
blunt,blunt
noth,nothing
channel,channel
surf,surf
begin,begin
sure,sure
pain,pain
trace,trace
normal,normal
track,track
ust,usted
price,price
knew,knew
wird,wird
butterfli,butterfly
champagn,champagne
pair,pair
knee,knees
bluebird,bluebird
lawn,lawn
pathet,pathetic
rescu,rescue
angst,angst
egg,egg
later,later
drive,drive
tooth,tooth
sunset,sunset
greed,greed
axe,axe
voodoo,voodoo
steadi,steady
hungri,hungry
shop,shop
perch,perche'
shot,shot
show,show
cheat,cheat
need,need
cheap,cheap
bright,bright
shoe,shoes
corner,corner
takin,takin'
inn,inn
ground,ground
aint,aint
righteous,righteous
slow,slow
unkind,unkind
stair,stairs
dich,dich
pen,pen
dick,dick
behind,behind
crime,crime
wood,wood
black,black
stormi,stormy
stain,stained
predict,predict
stay,stay
get,get
mission,mission
cannot,cannot
gee,gee
gen,gens
stroll,stroll
truli,truly
prime,prime
reveal,reveal
pistol,pistol
prima,prima
pimp,pimp
artist,artist
leather,leather
borrow,borrow
tension,tension
priest,priest
dough,dough
husband,husband
figur,figure
dice,dice
burst,burst
station,station
conscienc,conscience
seat,seat
asleep,asleep
honesti,honesty
seam,seams
sport,sport
wonder,wonder
infinit,infinite
appear,appear
televis,television
crystal,crystal
label,label
import,important
yesterday,yesterday
across,across
fight,fight
vie,vie
parent,parents
dinero,dinero
screen,screen
tut,tut
obscen,obscene
punto,punto
guitar,guitar
cycl,cycle
jo,jo
spark,spark
comb,comb
come,come
tue,tue
blame,blame
useless,useless
tuck,tuck
quiet,quiet
tout,tout
aura,aura
mani,many
mano,mano
among,among
spoil,spoil
cancer,cancer
color,color
pot,pot
inspir,inspiration
insist,insist
messin,messin'
pon,pon
jaw,jaw
pole,pole
poi,poi
constant,constant
comprehend,comprehend
boat,boat
damag,damage
mare,mare
ultim,ultimate
seiz,seize
coupl,couple
stretch,stretch
west,west
suicid,suicide
breath,breath
toss,toss
graveyard,graveyard
reaction,reaction
hurrican,hurricane
thousand,thousand
valor,valor
rubi,ruby
tiger,tiger
wake,wake
rememb,remember
instant,instant
spirit,spirit
sound,sound
slumber,slumber
cash,cash
cree,crees
trick,trick
cast,cast
scum,scum
cock,cock
spotlight,spotlight
soil,soil
convinc,convince
worri,worry
destin,destination
strain,strain
sudden,suddenly
eras,erase
absurd,absurd
everyday,everyday
par,par
medio,medio
pay,pay
medic,medication
bowl,bowl
tour,tour
check,check
food,food
heartbreak,heartbreak
blanket,blanket
sucker,sucker
admir,admire
eventu,eventually
pal,pal
pan,pan
week,week
phantom,phantom
oil,oil
see,see
ni,ni
nest,n'est
driver,driver
someon,someone
weed,weed
driven,driven
disguis,disguise
defi,defy
weep,weep
handsom,handsome
drain,drain
cherri,cherry
justifi,justify
hustl,hustle
lento,lento
relief,relief
temptat,temptation
model,model
reward,reward
sinner,sinner
taxi,taxi
summer,summer
violenc,violence
execut,execution
visto,visto
neon,neon
rest,rest
violent,violent
kill,kill
scrape,scrape
file,file
touch,touch
flavor,flavor
speed,speed
halfway,halfway
blow,blow
death,death
parad,parade
rose,rose
bobbi,bobby
except,except
littl,little
instrument,instrumental
ghetto,ghetto
pile,pile
verso,verso
struck,struck
determin,determined
pill,pills
kingdom,kingdom
rejoic,rejoice
frown,frown
damnat,damnation
ama,ama
ladi,lady
dart,darte
dark,dark
temperatur,temperature
traffic,traffic
pop,pop
darl,darling
railroad,railroad
reap,reap
dare,dare
meat,meat
saniti,sanity
duti,duty
stranger,stranger
twin,twin
shelf,shelf
nu,nu
chamber,chamber
oblivion,oblivion
maker,maker
hallelujah,hallelujah
opportun,opportunity
claw,claws
manag,manage
clap,clap
emerg,emergency
fulfil,fulfill
doll,doll
soy,soy
muscl,muscle
butt,butt
root,roots
radiat,radiation
buzz,buzz
freez,freeze
slice,slice
drank,drank
easili,easily
noon,no-one
slick,slick
legal,legal
moon,moon
teardrop,teardrops
exit,exit
runaway,runaway
devot,devotion
complic,complicated
knife,knife
power,power
garbag,garbage
earn,earn
slaughter,slaughter
broken,broken
throw,throw
om,om
abus,abuse
oh,oh
ach,aching
greater,greater
meal,meal
chop,chop
degre,degree
intens,intense
wolf,wolf
stand,stand
neighbor,neighbors
roam,roam
ow,ow
luck,luck
os,os
road,road
routin,routine
anybodi,anybody
press,press
misti,misty
mari,mary
strip,strip
effort,effort
uptown,uptown
nurs,nurse
mark,mark
restless,restless
het,het
scorn,scorn
gleam,gleam
hey,hey
start,start
fascin,fascination
low,low
lot,lot
hem,hem
valley,valley
yah,yah
gain,gain
bottl,bottle
enough,enough
stupid,stupid
regard,regard
amongst,amongst
gore,gore
dolor,dolor
fighter,fighter
conclus,conclusion
faster,faster
pull,pull
rush,rush
darken,darkened
dirti,dirty
joint,joint
rage,rage
vice,vice
ember,embers
flirt,flirt
agora,agora
grasp,grasp
grass,grass
rust,rust
connect,connection
gone,gone
ad,ad
fright,fright
ai,ai
ah,ah
al,al
deep,deep
nerv,nerve
sacr,sacred
aw,awful
ay,ay
deed,deeds
rearrang,rearrange
flock,flock
film,film
fill,fill
abyss,abyss
jingl,jingle
idiot,idiot
forsak,forsake
repent,repent
rubber,rubber
field,fields
trash,trash
poor,poor
shelter,shelter
symbol,symbol
teeth,teeth
drift,drifting
peak,peak
sulla,sulla
lair,l'air
peac,peace
pool,pool
lipstick,lipstick
meadow,meadow
wife,wife
thorn,thorns
mask,mask
mash,mash
moonlight,moonlight
u,u
pierc,pierce
castl,castle
alright,alright
escap,escape
apathi,apathy
togeth,together
diss,diss
liar,liar
forget,forget
cough,cough
forbidden,forbidden
lack,lack
dollar,dollar
dish,dish
follow,follow
lace,lace
sung,sung
carpet,carpet
corps,corpse
tu,tu
tail,tail
program,program
ti,ti
crimson,crimson
smile,smile
te,te
knot,knot
introduc,introduce
ta,ta
vers,verse
woman,woman
vert,verte
song,song
far,far
horror,horror
fat,fat
vera,veras
hypocrit,hypocrite
verd,verde
fall,fall
ticket,ticket
strang,strange
strand,stranded
trigger,trigger
pueblo,pueblo
heaven,heaven
alma,alma
harri,harry
list,list
forti,forty
sang,sang
sand,sand
sane,sane
small,small
buck,buck
stumbl,stumble
ora,ora
dimens,dimension
neighborhood,neighborhood
ten,ten
tea,tea
volar,volar
past,past
strung,strung
zero,zero
pressur,pressure
design,design
pass,pass
mill,mille
ribbon,ribbons
belief,belief
excit,excited
stood,stood
microphon,microphone
clock,clock
nana,nana
sun,sun
sum,sum
abl,able
crush,crush
public,public
version,version
sur,sur
deepli,deeply
method,method
movement,movement
full,full
tragedi,tragedy
vale,vale
immort,immortal
trunk,trunk
depend,depend
standard,standard
legend,legend
valu,value
leav,leave
arena,arena
search,searching
graviti,gravity
ahead,ahead
miseri,misery
whine,whine
brutal,brutal
premier,premier
soldier,soldier
base,base
pick,pick
action,action
narrow,narrow
medicin,medicine
via,via
depart,departed
declin,decline
ask,ask
voyag,voyage
send,send
famili,family
demis,demise
eye,eyes
tutti,tutti
liber,liberate
faint,faint
two,two
mort,mort
pearl,pearls
morn,morning
taken,taken
minor,minor
teen,teen
flaw,flaws
diamond,diamond
door,door
mire,mire
hundr,hundred
hurri,hurry
terror,terror
flag,flag
stick,stick
broke,broke
aris,arise
known,known
compani,company
doom,doom
glad,glad
town,town
none,none
thread,thread
hous,house
dew,dew
remain,remain
den,den
learn,learn
abandon,abandoned
male,male
dee,dee
mala,mala
explod,explode
orlean,orleans
shark,shark
bam,bam
brown,brown
challeng,challenge
share,share
accept,accept
autumn,autumn
fiddl,fiddle
poni,pony
wet,wet
explor,explore
explos,explosion
pone,pone
sharp,sharp
scar,scars
dress,dress
condemn,condemned
toni,tony
siren,sirens
cours,course
court,court
untru,untrue
divid,divide
rather,rather
anoth,another
comfort,comfort
breast,breast
divin,divine
fame,fame
cling,cling
strong,strong
simpl,simple
needl,needle
unabl,unable
plant,plant
rude,rude
whirl,whirl
blacken,blackened
sneak,sneak
reflect,reflection
fa,fa
plane,plane
embrac,embrace
fe,fe
numb,numb
fi,fi
bloom,bloom
planet,planet
circumst,circumstance
twelv,twelve
read,read
coat,coat
doctor,doctor
combin,combination
dragon,dragon
coal,coal
shore,shore
ego,ego
dread,dread
shade,shade
media,media
aller,aller
dream,dream
ding,ding
help,help
pant,pants
soon,soon
trade,trade
paper,paper
sere,sere
pane,pane
hell,hell
perhap,perhaps
suffer,suffer
realiz,realize
style,style
glide,glide
late,late
grade,grade
speech,speech
bout,'bout
team,team
might,might
alter,alter
suppli,supply
ant,antes
good,good
return,return
yo,yo
ya,ya
pollut,pollution
ye,ye
somebodi,somebody
dedo,dedos
farewel,farewell
foot,foot
disgrac,disgrace
adventur,adventure
complain,complain
bigger,bigger
virtu,virtue
fairi,fairy
vara,vara
porta,porta
mysteri,mystery
achiev,achieve
naughti,naughty
eager,eager
teas,tease
ceas,cease
found,found
friendship,friendship
breakdown,breakdown
harm,harm
shock,shock
mental,mental
weight,weight
meaningless,meaningless
colder,colder
fish,fish
hard,hard
idea,idea
realli,really
heavi,heavy
sober,sober
finish,finish
expect,expect
fist,fist
energi,energy
beyond,beyond
flower,flowers
safeti,safety
alcohol,alcohol
suprem,supreme
glitter,glitter
princ,prince
bubbl,bubble
si,si
health,health
hill,hill
print,print
san,sans
highway,highway
ass,ass
bald,bald
bass,bass
dirt,dirt
guess,guess
dune,d'une
ness,ness
dit,dit
reason,reason
heroin,heroin
believ,believe
dire,dire
put,put
teach,teach
ash,ashes
sidewalk,sidewalk
thrown,thrown
alt,alt
legion,legions
prophet,prophet
fearless,fearless
struggl,struggle
sicken,sickening
wither,withered
cloudi,cloudy
w,w
heartbeat,heartbeat
lifetim,lifetime
fallen,fallen
virgin,virgin
feed,feed
sympathi,sympathy
major,major
bonito,bonito
dont,dont
wilder,wilderness
feel,feel
nach,nach
number,number
evolut,evolution
sailor,sailor
done,done
dong,dong
blank,blank
guard,guard
mist,mist
miss,miss
fanci,fancy
passer,passer
razor,razor
differ,different
guest,guest
jet,jet
nome,nome
blossom,blossom
mont,monte
least,least
collar,collar
player,player
contra,contra
stori,story
robe,robe
storm,storm
master,master
scheme,scheme
banana,banana
store,store
pare,pare
saint,saint
para,para
pump,pump
month,months
hotel,hotel
park,park
za,za
part,part
twenti,twenty
grace,grace
reliev,relieve
king,king
kind,kind
b,b
whenev,whenever
perfum,perfume
remov,remove
vocal,vocal
youth,youth
bride,bride
asham,ashamed
stalk,stalking
danc,dance
weapon,weapon
atmospher,atmosphere
belli,belly
complet,complete
blond,blonde
sell,sell
lie,lies
advanc,advance
built,built
dude,dude
blanco,blanco
blanca,blanca
self,self
couch,couch
lit,lit
also,also
without,without
build,build
command,command
play,play
parl,parle
victim,victim
reach,reach
chart,charts
virus,virus
charm,charm
pari,paris
suitcas,suitcase
charg,charge
amaz,amazing
ka,ka
unspoken,unspoken
clear,clear
destruct,destruction
clean,clean
repli,reply
weigh,weigh
barrel,barrel
gold,gold
melodi,melody
flicker,flicker
golp,golpe
font,font
fine,fine
find,find
paus,pause
giant,giant
pretti,pretty
sentenc,sentence
nervous,nervous
writer,writer
solut,solution
vision,vision
beat,beat
jazz,jazz
betray,betrayed
money,money
unhappi,unhappy
hip,hip
shepherd,shepherds
remedi,remedy
hit,hit
mein,mein
bend,bend
express,express
famous,famous
grew,grew
stir,stir
compass,compassion
silk,silk
sunni,sunny
hin,hin
merci,mercy
appeal,appeal
timeless,timeless
proclaim,proclaim
enemi,enemy
booz,booze
geld,geld
common,common
gotten,gotten
nowher,nowhere
sew,sew
seventeen,seventeen
set,set
art,art
ser,ser
delus,delusion
creator,creator
overwhelm,overwhelmed
jade,jaded
vine,vine
around,around
grey,grey
bara,bara
idol,idol
lion,lion
dumb,dumb
sea,sea
tender,tender
close,close
arm,arms
seal,seal
project,projects
spiritu,spiritual
someth,something
wail,wail
case,case
woo,woo
lei,lei
woe,woe
guilt,guilt
hold,hold
experi,experience
kneel,kneel
piss,piss
concentr,concentrate
iron,iron
barrio,barrio
sold,sold
sole,sole
isol,isolation
sola,sola
spray,spray
samba,samba
purpl,purple
c,c
toward,towards
last,last
thou,thou
alon,alone
foreign,foreign
secreto,secreto
forgotten,forgotten
bond,bond
afar,afar
blaze,blaze
load,load
gypsi,gypsy
childhood,childhood
simpli,simply
reject,reject
point,point
olla,olla
sweet,sweet
sweep,sweep
dancer,dancer
majesti,majesty
church,church
rave,rave
mistak,mistake
bridg,bridge
deceiv,deceive
belt,belt
worthless,worthless
devil,devil
filth,filth
dum,dum
dun,d'un
pu,pu
dub,dub
blink,blink
due,due
empti,empty
miser,miserable
secret,secret
pa,pa
damn,damn
threaten,threatening
brick,brick
pi,pieds
po,po'
woke,woke
dame,dame
firm,firm
invis,invisible
sweetheart,sweetheart
modern,modern
flight,flight
champion,champion
gay,gay
pronto,pronto
fire,fire
infect,infected
imag,image
gas,gas
gar,gar
gal,gal
understand,understand
demand,demand
educ,education
cantar,cantar
funk,funk
convers,conversation
highest,highest
stolen,stolen
ignit,ignite
look,look
solid,solid
straight,straight
bill,bill
