stem,word,pos
extra,extra,JJ
impos,imposible,JJ
live,live,JJ
angri,angry,JJ
vous,vous,JJ
prepar,prepared,JJ
sous,sous,JJ
such,such,JJ
conscious,conscious,JJ
confus,confused,VB
ordinari,ordinary,JJ
anticip,anticipating,VB
yearn,yearning,VB
civil,civil,JJ
whole,whole,JJ
kaiken,kaiken,VB
main,main,JJ
shatter,shattered,VB
disappoint,disappointed,JJ
not,don't,VB
separ,separate,JJ
replac,replace,VB
begun,begun,VB
shown,shown,VB
bless,blessed,VB
auch,auch,JJ
romant,romantic,JJ
swing,swing,VB
arriv,arrive,JJ
spanish,spanish,JJ
open,open,JJ
given,given,VB
white,white,JJ
short,short,JJ
wide,wide,JJ
gotta,gotta,VB
were,were,VB
say,say,VB
take,take,VB
concern,concerned,JJ
normal,normal,JJ
ust,usted,JJ
pathet,pathetic,JJ
steadi,steady,JJ
righteous,righteous,JJ
slow,slow,VB
pen,pen,VB
black,black,JJ
stain,stained,VB
american,american,JJ
get,get,VB
appear,appear,VB
import,important,JJ
come,come,VB
quiet,quiet,JJ
tous,tous,JJ
mani,many,JJ
hypnot,hypnotized,VB
constant,constant,JJ
ultim,ultimate,JJ
carv,carved,VB
rememb,remember,VB
ive,ive,JJ
same,same,JJ
see,see,VB
nest,n'est,JJ
rose,rose,VB
littl,little,JJ
instrument,instrumental,JJ
determin,determined,VB
darl,darling,VB
legal,legal,JJ
complic,complicated,VB
ach,aching,VB
greater,greater,JJ
uptown,uptown,JJ
starv,starving,VB
low,low,JJ
stupid,stupid,JJ
darken,darkened,VB
gone,gone,VB
am,am,VB
sacr,sacred,VB
poor,poor,JJ
drift,drifting,VB
follow,follow,VB
strand,stranded,VB
small,small,JJ
stumbl,stumble,JJ
excit,excited,VB
abl,able,JJ
full,full,JJ
leav,leave,VB
search,searching,VB
depart,departed,VB
taken,taken,VB
hundr,hundred,VB
known,known,VB
abandon,abandoned,VB
sharp,sharp,JJ
condemn,condemned,VB
untru,untrue,JJ
cling,cling,VB
strong,strong,JJ
unabl,unable,JJ
blacken,blackened,VB
ding,ding,VB
realiz,realize,VB
good,good,JJ
bigger,bigger,JJ
did,did,VB
hard,hard,JJ
terrifi,terrified,VB
heavi,heavy,JJ
expect,expect,VB
bubbl,bubble,JJ
believ,believe,VB
sicken,sickening,VB
wither,withered,VB
fallen,fallen,VB
major,major,JJ
done,done,VB
differ,different,JJ
least,least,JJ
remov,remove,VB
vocal,vocal,JJ
asham,ashamed,VB
stalk,stalking,VB
complet,complete,JJ
dedic,dedicated,VB
euch,euch,JJ
english,english,JJ
amaz,amazing,VB
unspoken,unspoken,JJ
clear,clear,JJ
find,find,VB
nervous,nervous,JJ
unhappi,unhappy,JJ
famous,famous,JJ
grew,grew,VB
common,common,JJ
overwhelm,overwhelmed,JJ
jade,jaded,VB
sed,sed,VB
are,are,VB
spiritu,spiritual,JJ
sold,sold,VB
arrang,arranged,VB
last,last,JJ
foreign,foreign,JJ
rave,rave,VB
due,due,JJ
empti,empty,JJ
miser,miserable,JJ
threaten,threatening,VB
invis,invisible,JJ
modern,modern,JJ
infect,infected,VB
highest,highest,JJ
stolen,stolen,VB
solid,solid,JJ
readi,ready,JJ
mystic,mystic,JJ
rid,rid,JJ
grant,granted,VB
grand,grand,JJ
higher,higher,JJ
lower,lower,JJ
older,older,JJ
howl,howling,VB
bruis,bruised,VB
foolish,foolish,JJ
curious,curious,JJ
larg,large,JJ
be,be,VB
run,run,VB
most,most,JJ
idl,idle,JJ
real,real,JJ
won’t,won’t,VB
atom,atomic,JJ
swirl,swirling,VB
nice,nice,JJ
enslav,enslaved,VB
fresh,fresh,JJ
go,go,VB
privat,private,JJ
young,young,JJ
becam,became,VB
uhhuh,uh-huh,JJ
marri,married,JJ
rotten,rotten,VB
indian,indian,JJ
involv,involved,VB
led,led,VB
let,let,VB
sing,sing,VB
great,great,JJ
northern,northern,JJ
use,used,VB
flat,flat,JJ
next,next,JJ
few,few,JJ
wretch,wretched,VB
critic,critical,JJ
obvious,obvious,JJ
aliv,alive,JJ
lock,locked,VB
high,high,JJ
crimin,criminal,JJ
paralyz,paralyzed,VB
physic,physical,JJ
allow,allow,VB
batter,battered,VB
scatter,scattered,VB
static,static,JJ
sexual,sexual,JJ
special,special,JJ
sever,severed,VB
wick,wicked,VB
red,red,JJ
southern,southern,JJ
etern,eternal,JJ
enchant,enchanted,VB
keep,keep,VB
scari,scary,JJ
scare,scared,VB
unknown,unknown,JJ
boil,boiling,VB
big,big,JJ
biggest,biggest,JJ
tangl,tangled,VB
rendezv,rendezvous,JJ
terribl,terrible,JJ
crucifi,crucified,VB
have,have,VB
loos,loose,JJ
expos,exposed,VB
singl,single,JJ
nous,nous,JJ
stronger,stronger,JJ
frighten,frightened,VB
niet,niet,JJ
tire,tired,VB
suppos,supposed,VB
local,local,JJ
familiar,familiar,JJ
rumbl,rumble,JJ
redeem,redeemed,VB
lucki,lucky,JJ
possibl,possible,JJ
apolog,apologize,VB
nuclear,nuclear,JJ
entir,entire,JJ
disconnect,disconnected,VB
precious,precious,JJ
qual,qual,JJ
equal,equal,JJ
succeed,succeed,VB
glorious,glorious,JJ
general,general,JJ
brauch,brauch,JJ
began,began,VB
satisfi,satisfied,JJ
easi,easy,JJ
latest,latest,JJ
add,add,VB
other,other,JJ
know,know,VB
unseen,unseen,JJ
lost,lost,VB
incred,incredible,JJ
bibl,bible,JJ
corpor,corporate,JJ
lose,lose,VB
soft,soft,JJ
shed,shed,VB
captur,captured,VB
broad,broad,JJ
settl,settle,VB
nake,naked,JJ
trap,trapped,VB
forgiv,forgive,JJ
fals,false,JJ
own,own,JJ
automat,automatic,JJ
buy,buy,VB
made,made,VB
belov,beloved,VB
happen,happen,VB
ese,ese,JJ
humbl,humble,JJ
