stem,word,pos
wisdom,wisdom,
digo,digo,
western,western,JJ
crawl,crawl,
diga,digas,
pluie,pluie,
cri,cry,
preacher,preacher,
bitt,bitte,
silli,silly,
target,target,
thirsti,thirsty,
provid,provide,VB
coward,coward,
tra,tra,
tree,tree,
hors,horse,
shower,shower,
matter,matter,
entr,entre,
flame,flame,
ancora,ancora,
k,k,
minut,minute,
rag,rag,
fashion,fashion,
esta,esta,
estc,est-ce,
ran,ran,
mina,mina,
esto,esto,
mind,mind,
mine,mine,
drip,drip,
sourir,sourire,
raw,raw,JJ
rat,rat,
seed,seed,
rap,rap,
seen,seen,VB
seem,seems,VB
it’,it’s,
seek,seek,
boogi,boogie,
salvat,salvation,
strength,strength,
realm,realm,
alibi,alibi,
damour,d'amour,
especi,especially,
snow,snow,
bleib,bleib,
chest,chest,JJ
rome,rome,
i´m,i´m,
hum,hum,
rider,rider,
blue,blue,
crippl,crippled,VB
despertar,despertar,
nuit,nuit,
razon,razon,
plenti,plenty,
though,though,
scienc,science,
doin,doin',
object,object,
sue,sue,
ahí,ahí,
sinto,sinto,
mouth,mouth,
addict,addicted,VB
letter,letter,
jumpin,jumpin',
phase,phase,
coin,coin,
the,the,
grave,grave,VB
glow,glow,VB
tradit,tradition,
singer,singer,
excus,excuse,
don,don?,
doo,doo,
dom,dom,
flor,flor,
alarm,alarm,
nei,nei,
metal,metal,
dog,dog,
doe,does,VB
freeway,freeway,
suo,suo,
declar,declare,
dor,dor,
dos,dos,
cama,cama,
left,left,VB
scream,scream,
came,came,VB
job,job,
beaten,beaten,
bomb,bomb,
hur,hur,
cherch,cherche,
opposit,opposite,
queen,queen,
pave,paved,VB
lee,lee,
sanctuari,sanctuary,JJ
radio,radio,
earth,earth,
bail,baile,
sagt,sagt,
toast,toast,
och,och,
wirst,wirst,
politician,politicians,
quieren,quieren,
just,just,
spite,spite,
blut,blut,
ment,mente,
explain,explain,
releas,release,
bust,bust,
sugar,sugar,
bush,bush,
busi,business,
bliss,bliss,
deepest,deepest,JJ
rich,rich,JJ
mend,mend,
gangsta,gangsta,
do,do,VB
waltz,waltz,
dj,dj,
klein,kleine,VB
di,di,
nasti,nasty,JJ
de,de,
watch,watch,
13,13,
da,da,
pocket,pocket,
geen,geen,
doigt,doigts,
du,du,
dr,dr.,
bat,bat,
bar,bar,
bas,bas,
busco,busco,
ner,ner,
sacrific,sacrifice,
probabl,probably,
brazo,brazos,
disco,disco,
twice,twice,
bad,bad,JJ
coke,coke,
olhar,olhar,
sentido,sentido,
steal,steal,
steam,steam,
bah,bah,
fait,fait,
blew,blew,
vampir,vampire,
beso,besos,
fair,faire,
cerca,cerca,
guerra,guerra,
liquor,liquor,
nur,nur,
parol,parole,
light,light,
resist,resist,
bled,bled,VB
goodnight,goodnight,
num,num,
structur,structure,
nuh,nuh,
respons,responsible,JJ
fail,fail,
cambiar,cambiar,
foss,fosse,
hammer,hammer,
best,best,JJ
subject,subject,JJ
awar,aware,JJ
said,said,VB
onto,onto,
bij,bij,
away,away,
sail,sail,
muy,muy,
insiem,insieme,
mud,mud,
bien,bien,
score,score,
cómo,cómo,
finger,fingers,
awak,awake,VB
drawn,drawn,
mun,mun,
approach,approach,
alguien,alguien,
debo,debo,
warrior,warrior,JJ
we,we,
men,men,
drivin,drivin',
wa,wa,
wo,won't,VB
debe,debes,
sera,sera,
weak,weak,JJ
boss,boss,
posit,position,
lazi,lazy,
devour,devour,
wear,wear,
unfold,unfold,JJ
intox,intoxicated,VB
news,news,
debt,debt,
roller,roller,
weari,weary,JJ
bras,bras,
cop,cops,
cos,'cos,
cor,cor,
ell,elle,
cow,cow,
herz,herz,
fault,fault,
ill,ill,
questo,questo,
ahora,ahora,
against,against,
kommen,kommen,
piti,pity,
una,una,
kommer,kommer,
und,und,
une,une,
lookin,lookin',
logic,logic,
countri,country,
com,com,
col,col,
con,con,
compromis,compromise,
skill,skills,
assur,assured,VB
tough,tough,JJ
alleluia,alleluia!,
pose,pose,VB
demain,demain,
vain,vain,
jugar,jugar,
height,heights,
femm,femme,
creat,create,
lick,lick,
felicidad,felicidad,
darlin,darlin',
paradis,paradise,
trumpet,trumpet,
trust,trust,
assum,assume,VB
aquella,aquella,
speak,speak,
hijo,hijos,
fra,fra,
reveng,revenge,
sam,sam,
beef,beef,
hay,hay,
union,union,
fri,fry,
sal,sal,
three,three,
been,been,VB
shoulda,shoulda,
beep,beep,
beer,beer,
much,much,JJ
entonc,entonces,
interest,interest,
pro,pro,
tini,tiny,JJ
threw,threw,
funer,funeral,JJ
life,life,
ano,ano,
deeper,deeper,
spit,spit,
café,café,
pueden,pueden,
alegr,alegre,
prison,prison,
anywher,anywhere,
fest,fest,JJ
lift,lift,
alley,alley,
child,child,
catch,catch,
erst,erst,
suav,suave,VB
cunt,cunt,
chill,chill,
ugli,ugly,
save,save,VB
tank,tank,
servic,service,
gasolin,gasoline,
lullabi,lullaby,
air,air,
aim,aim,
encontrar,encontrar,
near,near,
ain,ain?,
neat,neat,
aid,aids,
possess,possess,
vagu,vague,
anchor,anchor,
della,della,
spawn,spawn,
histori,history,
stink,stink,
dizzi,dizzy,
mexico,mexico,
is,is,VB
ir,ir,
it,it,
sting,sting,VB
ii,ii,
shame,shame,
ik,ik,
brake,brakes,
il,il,
jest,jest,JJ
in,in,
amour,amour,
id,id,
disappear,disappear,
if,if,
grown,grown,VB
walkin,walkin',
bello,bello,
quand,quand,
harmoni,harmony,
credit,credit,
perform,perform,VB
make,make,VB
mayb,maybe,
wound,wounds,
bella,bella,
busca,busca,
complex,complex,JJ
descend,descend,
jungl,jungle,
success,success,
puttin,puttin',
superman,superman,
jama,jamas,
wheel,wheel,
ello,ellos,
fuss,fuss,
evid,evidence,
buscando,buscando,
ingent,ingenting,VB
ella,ella,
social,social,JJ
rail,rail,
rain,rain,
hand,hand,
delight,delight,
fuse,fuse,
vieux,vieux,
jealous,jealous,JJ
burnin,burnin',
tide,tide,
blister,blisters,
tune,tune,
kid,kids,
butter,butter,
groovi,groovy,
dado,dado,
kept,kept,VB
soak,soaked,VB
bewar,beware,
placer,placer,
itself,itself,
taint,tainted,VB
deixa,deixa,
ocean,ocean,
contact,contact,
mamma,mamma,
greatest,greatest,JJ
thi,thy,
mother,mother,
everyth,everything,
hacen,hacen,
rout,route,
tha,tha,
bonni,bonnie,
letra,letra,
background,background,
givin,givin',
yea,yea,
photo,photo,
enjoy,enjoy,
forsaken,forsaken,
tão,tão,
monkey,monkey,
kalt,kalt,
farther,farther,
human,human,
yes,yes,
yer,yer,
sleepi,sleepy,
yet,yet,
languag,language,
sí,sí,
hai,hai,
sé,sé,
han,han,
så,så,
sä,sä,
hab,hab,
ela,ela,
had,had,VB
ideal,ideal,
voglio,voglio,
ele,ele,
sensat,sensation,
ooooh,ooooh,
shout,shout,
spread,spread,
board,board,
endur,endure,
els,else,
har,har,
has,has,VB
hat,hat,
wissen,wissen,
só,só,
gave,gave,VB
egal,egal,
lake,lake,VB
unter,unter,
assim,assim,
escuchar,escuchar,
seel,seele,
vaniti,vanity,
there’,there’s,
yeh,yeh,
birth,birth,
linda,linda,
dreamt,dreamt,
shadow,shadows,
burnt,burnt,
rumor,rumors,
apart,apart,
shoulder,shoulder,
measur,measure,
gift,gift,
hunt,hunt,
negat,negative,JJ
50,50,
deus,deus,
remind,remind,
pavement,pavement,
pasion,pasion,
confid,confidence,
night,night,
hung,hung,
amor,amor,
soar,soar,VB
jean,jeans,
right,right,
old,old,JJ
ole,ole,
deal,deal,
oli,oli,
fold,fold,
crown,crown,
somehow,somehow,
dead,dead,JJ
tenemo,tenemos,
revel,revelation,
intern,international,JJ
dear,dear,
bore,bored,VB
bord,bord,
creer,creer,
creep,creep,
decirt,decirte,
ici,ici,
ich,ich,
for,for,
bottom,bottom,
drove,drove,VB
ice,ice,
foe,foe,
fog,fog,
uma,uma,
overcom,overcome,
convict,conviction,
strada,strada,
creatur,creature,
leak,leak,
vielleicht,vielleicht,
bold,bold,JJ
peel,peel,
suelo,suelo,
quedo,quedo,
insecur,insecure,
coro,coro,
buri,bury,
corp,corps,
pensando,pensando,
corr,corre,
keeper,keeper,
post,post,
â,Â,
super,super,
describ,describe,
zur,zur,
silhouett,silhouette,
difícil,difícil,
coast,coast,
cowboy,cowboy,
conceal,conceal,
year,years,
choke,choke,
surround,surround,
dinner,dinner,
despair,despair,
plus,plus,
algo,algo,
horizon,horizon,
cherish,cherish,JJ
mismo,mismo,
commit,commit,
esperar,esperar,
coraz,coraz?,
produc,produced,VB
zum,zum,
lieb,liebe,
telephon,telephone,
aber,aber,
cuor,cuore,
soi,sois,
sock,sock,
ahh,ahh,
float,floating,VB
som,som,
bound,bound,
son,son,
down,down,
loin,loin,
sou,sou,
sow,sow,
vuelv,vuelve,VB
wrap,wrapped,VB
chime,chime,
encor,encore,
stall,stall,
mass,mass,
glaub,glaub,
east,east,
veneno,veneno,
crowd,crowd,
wah,wah,
avait,avait,
frustrat,frustration,
support,support,
transform,transform,
sunlight,sunlight,
happi,happy,JJ
stuck,stuck,
reli,rely,
fought,fought,
gib,gib,
way,way,
wax,wax,
jane,jane,
call,call,VB
wat,wat,
was,was,VB
war,war,
wrote,wrote,VB
everlast,everlasting,VB
head,head,
form,form,
offer,offer,
forc,force,
deaf,deaf,
heal,heal,
daß,daß,
forg,forged,VB
aqui,aqui,
fore,'fore,
jive,jive,JJ
heat,heat,
seguir,seguir,
hear,hear,
sparkl,sparkle,
fors,forse,
mirada,mirada,
true,true,JJ
fort,fort,
viva,viva,
electr,electric,JJ
duel,duele,
vive,vive,JJ
born,born,
vorrei,vorrei,
layin,layin',
daddi,daddy,
vivo,vivo,
until,until,
whiskey,whiskey,
vivr,vivre,
absenc,absence,
freund,freunde,
trist,triste,
retir,retire,
lili,lily,
labio,labios,
pude,pude,
proud,proud,
weit,weit,
lleva,lleva,
petit,petit,
nobodi,nobody,
unholi,unholy,
sale,sale,
salir,salir,
miro,miro,
exist,exist,
cocain,cocaine,
glanc,glance,
prayer,prayer,
furi,fury,
desir,desire,
ship,ship,
20,20,
mold,mold,
trip,trip,
shit,shit,
inde,indeed,
gracia,gracias,
leer,leer,
depoi,depois,
floor,floor,
na,na,
stake,stake,
when,when,
ne,ne,
actor,actor,
til,'til,
flood,flood,
tin,tin,
role,role,
communic,communication,
jone,jones,
tumbl,tumble,
test,test,
tie,tied,VB
hangin,hangin',
smell,smell,
roll,roll,
realiti,reality,
tame,tame,
donât,donât,
fou,fou,
dies,diese,JJ
felt,felt,
dieu,dieu,
fell,fell,VB
intent,intentions,
reign,reign,
consid,consider,VB
mirando,mirando,
siento,siento,
balloon,balloon,
billion,billion,
grief,grief,
younger,younger,JJ
receiv,receive,VB
rabbit,rabbit,
longer,longer,JJ
bullet,bullet,
glass,glass,
salt,salt,
essenc,essence,
licht,licht,
jacket,jacket,
rough,rough,
ignor,ignore,
time,time,
push,push,
serious,serious,JJ
backward,backwards,
daili,daily,JJ
gown,gown,
sentimiento,sentimiento,
chain,chain,
caricia,caricias,
skip,skip,
rob,rob,
celebr,celebrate,
focus,focus,
invent,invented,VB
mile,miles,
selbst,selbst,
skin,skin,
amar,amar,
chair,chair,
rot,rot,
milk,milk,
row,row,
macht,macht,
decid,decide,VB
middl,middle,
ver,ver,
ves,ves,
zone,zone,
muito,muito,
flash,flash,
father,father,
puoi,puoi,
dá,dá,
hurtin,hurtin',
decir,decir,
decis,decision,
rhythm,rhythm,
ven,ven,
veo,veo,
vem,vem,
retreat,retreat,
preciso,preciso,
shoot,shoot,
sourc,source,
string,string,VB
jerk,jerk,
olvidar,olvidar,
nooit,nooit,
guarda,guarda,
distant,distant,
mourn,mourning,VB
escucha,escucha,
condit,condition,
cook,cook,
join,join,
blast,blast,
exact,exactly,
rapper,rappers,
cool,cool,
dim,dim,
din,din,
dio,dios,
captiv,captive,JJ
hour,hour,
knockin,knockin',
level,level,
tear,tears,
die,die,
dig,dig,
dia,dia,
foi,fois,
p,p,
statu,statue,
querer,querer,
larm,larmes,
diz,diz,
gut,gut,
quick,quick,
tongu,tongue,
guy,guy,
dip,dip,
round,round,
dir,dir,
dis,dis,
shave,shave,VB
cose,cose,VB
brave,brave,VB
regret,regret,VB
cosa,cosa,
core,core,
trend,trend,
sigh,sigh,JJ
boca,boca,
sigo,sigo,
sign,sign,
everytim,everytime,
cost,cost,
sigu,sigue,
worn,worn,JJ
hace,hace,
patient,patiently,
helpless,helpless,
bake,bake,VB
port,porte,
corazon,corazon,
malo,malo,
vengo,vengo,
mister,mister,
queda,queda,
mall,mall,
melt,melt,
uniform,uniform,
current,current,JJ
stadt,stadt,
ancient,ancient,
nella,nella,
indiffer,indifference,
order,order,
corn,corn,
burn,burn,
hart,hart,
frío,frío,
drinkin,drinkin',
nen,n'en,
ridin,ridin',
french,french,JJ
bi,bi,
water,water,
juro,juro,
melhor,melhor,
witch,witch,
deceit,deceit,
along,along,
teacher,teacher,
wait,waiting,VB
box,box,
boy,boy,
insan,insane,
fenc,fence,
shove,shove,VB
invit,invitation,
bop,bop,
shift,shift,
runnin,runnin',
culpa,culpa,
mutta,mutta,
screamin,screamin',
bow,bow,
dêtre,d'être,
trial,trial,
patienc,patience,
bom,bom,
bon,bon,
boo,boo,
dusti,dusty,
colleg,college,
bob,bob,
deg,deg,
guilti,guilty,JJ
pillow,pillow,VB
ourselv,ourselves,
love,love,VB
savoir,savoir,
extra,extra,JJ
ilusión,ilusión,
rattl,rattle,VB
prefer,prefer,VB
gesicht,gesicht,
pasión,pasión,
tête,tête,
fake,fake,
fool,fool,
tuesday,tuesday,
peep,peep,
market,market,
bloodi,bloody,
ando,ando,
wealth,wealth,
memori,memories,
sake,sake,
saddl,saddle,
univers,universe,
visit,visit,
impos,imposible,JJ
everybodi,everybody,
live,live,JJ
vivir,vivir,
prey,prey,
everywher,everywhere,
ahhh,ahhh,
tape,tape,
angri,angry,JJ
thru,thru,
today,today,
vous,vous,JJ
capit,capital,
jah,jah,
riot,riot,
club,club,
peopl,people,
ooo,ooo,
claus,claus,
lamor,l'amore,
ooh,ooh,
refrain,refrain,
clue,clue,
downtown,downtown,
espero,espero,
drown,drown,
savior,savior,JJ
cuanto,cuanto,
summertim,summertime,
aun,aun,
suffoc,suffocate,
car,car,
prepar,prepared,JJ
pretend,pretend,VB
judg,judge,
soul,soul,
niggaz,niggaz,
cat,cat,
fli,fly,
dyin,dyin',
sous,sous,JJ
sour,sour,JJ
whatev,whatever,
cabeza,cabeza,
purpos,purpose,VB
laughter,laughter,
materi,material,
cae,cae,
heart,heart,
favourit,favourite,
stream,stream,
corazón,corazón,
noch,noch,
livet,livet,
chip,chips,
fuck,fuck,
alleen,alleen,
perder,perder,
heard,heard,
stroke,stroke,
chin,chin,
o,o,
phrase,phrase,
chemic,chemical,
feelin,feelin',
juli,july,
stole,stole,
tar,tar,
pink,pink,VB
winter,winter,
soleil,soleil,
lifeless,lifeless,
mehr,mehr,
foul,foul,
hippi,hippie,
aquel,aquel,
nyt,nyt,
write,write,VB
alway,always,
sunday,sunday,
anyon,anyone,
actual,actually,
pure,pure,
swore,swore,
llego,llego,
puro,puro,
amanec,amanecer,
afternoon,afternoon,
map,map,
mas,mas,
mar,mar,
misma,misma,
may,may,
kopf,kopf,
dive,dive,
fed,fed,
spot,spot,
louder,louder,
niemand,niemand,
pattern,patterns,
mad,mad,
mag,mag,
mai,mais,
such,such,JJ
suck,suck,
dove,dove,VB
grow,grow,VB
leve,leve,VB
man,man,
stress,stress,
rêve,rêve,
neck,neck,
liquid,liquid,
conscious,conscious,JJ
confus,confused,VB
goal,goal,
secur,security,
favorit,favorite,
avant,avant,
su,su,
st,st.,
tale,tale,
inform,information,
switch,switch,
etc,etc.,
jail,jail,
jaim,j'aime,
unleash,unleash,
tall,tall,
sa,sa,
ordinari,ordinary,JJ
talk,talk,
drunken,drunken,
cute,cute,
manera,manera,
shield,shield,
anticip,anticipating,VB
footstep,footsteps,
etwa,etwas,
midnight,midnight,
agoni,agony,
immer,immer,
brain,brain,
yearn,yearning,VB
aha,aha,
lyric,lyrics,
hacia,hacia,
cold,cold,
still,still,
skeleton,skeleton,
worship,worship,
tore,tore,
già,già,
forma,forma,
group,group,
thumb,thumb,
willow,willow,
thang,thang,
torn,torn,
jij,jij,
shakin,shakin',
lyin,lyin',
civil,civil,JJ
window,window,
whole,whole,JJ
kaiken,kaiken,VB
maim,m'aimes,
mail,mail,
main,main,JJ
bounc,bounce,
insect,insects,
augen,augen,
nom,nom,
non,non,
ahi,ahi,
recal,recall,
noi,noi,
smash,smash,
javai,j'avais,
bein,bein',
nog,nog,
shatter,shattered,VB
dimmi,dimmi,
sooner,sooner,
sol,sol,
underneath,underneath,
lunch,lunch,
sorriso,sorriso,
loneli,loneliness,
conquer,conquer,
tax,tax,
disappoint,disappointed,JJ
not,don't,VB
qu,qu',
now,now,
twilight,twilight,
hall,hall,
nor,nor,
nos,nos,
wont,wont,
term,terms,
name,name,
servant,servant,
mellow,mellow,
frank,frank,
drop,drop,
vaan,vaan,
flown,flown,
separ,separate,JJ
magazin,magazine,
savag,savage,
careless,careless,
rock,rock,
nois,noise,
caminar,caminar,
collaps,collapse,
terr,terre,
keiner,keiner,
em,'em,
el,el,
en,en,
ei,ei,
eh,eh,
replac,replace,VB
eg,eg,
torch,torch,
står,står,
yeah,yeah,
bodi,body,
mulher,mulher,
ey,ey,
begun,begun,VB
ez,ez,
eu,eu,
et,et,
girl,girl,
summon,summon,
mommi,mommy,
es,es,
er,er,
album,album,
shown,shown,VB
ambit,ambition,
jackson,jackson,
stitch,stitch,
space,space,
profit,profit,
dort,dort,
astray,astray,
flesh,flesh,
poco,poco,
johnni,johnny,
fazer,fazer,
bli,bli,
olvido,olvido,
stell,stelle,
uncl,uncle,
bless,blessed,VB
bla,bla,
correct,correct,
romanc,romance,
screw,screw,
diseas,disease,
monster,monster,
glimps,glimpse,
tienen,tienen,
sogno,sogno,
septemb,september,
million,million,
seventh,seventh,JJ
argu,argue,
auch,auch,JJ
g,g,
cari,cari,
california,california,
rebel,rebel,
plea,plea,
romant,romantic,JJ
allá,allá,
cara,cara,
grab,grab,
card,cards,
care,care,
imagin,imagine,
funki,funky,
gusta,gusta,
sabor,sabor,
luego,luego,
don`t,don`t,
punk,punk,
refus,refuse,
honest,honest,JJ
motion,motion,
turn,turn,
può,può,
place,place,
aboard,aboard,
swing,swing,VB
preach,preach,
think,think,VB
first,first,
oper,operator,
mucha,muchas,
carri,carry,
onc,once,
mitä,mitä,
vient,vient,
ond,onde,
yourself,yourself,
arriv,arrive,JJ
fast,fast,
spanish,spanish,JJ
vote,vote,
ring,ring,VB
dreamin,dreamin',
open,open,JJ
tomorrow,tomorrow,
ont,ont,
size,size,
sheep,sheep,
given,given,VB
chanson,chanson,
sheet,sheets,
christma,christmas,
teenag,teenage,
llegar,llegar,
caught,caught,
breed,breed,
plastic,plastic,
citi,city,
silenc,silence,
2,2,
tragic,tragic,
breez,breeze,
circl,circle,
white,white,JJ
las,las,
perdida,perdida,
friend,friend,
altro,altro,
suert,suerte,
hug,hug,
sento,sento,
that,that,
season,season,
hun,hun,
huh,huh,
lhe,lhe,
eagl,eagle,
spinnin,spinnin',
short,short,JJ
decemb,december,
bajo,bajo,
gin,gin,
x2,(x2),
x3,(x3),
than,than,
x4,(x4),
boyfriend,boyfriend,VB
serv,serve,
wide,wide,JJ
gehn,gehn,
12,12,
15,15,
plein,plein,
i’ll,i’ll,
16,16,
jealousi,jealousy,
gotta,gotta,VB
r,r,
remors,remorse,
balanc,balance,
werd,werde,
were,were,VB
geht,geht,
futuro,futuro,
and,and,
sai,sais,
não,não,
pra,pra,
ana,ana,
angel,angel,
slay,slay,
saa,saa,
dass,dass,
sag,sag,
ani,any,
slap,slap,
sad,sad,
sull,sulle,
woah,woah,
say,say,VB
slam,slam,
rent,rent,
deliv,deliver,
anger,anger,
allen,allen,
breakfast,breakfast,
saw,saw,
sogni,sogni,
sat,sat,
nott,notte,
hör,hör,
engin,engine,
squar,square,
advic,advice,
notr,notre,
mitt,mitt,
jahr,jahre,
kan,kan,
