mxm_tid,a_name,title,mood
8814798,Mary McBride,Weathervane,4
590790,Crowbar,I Have Failed,1
3099958,Sting,Englishman in New York,3
4727048,Lifer,Not Like You,1
5685542,Luis Alberto Spinetta,Flecha zen,4
13747533,The Insyderz,"Oh Lord, You're Beautiful",0
686758,Clannad,Banba Óir,4
7927584,Stan Van Samang,Shades,4
731443,Our Lady Peace,Under Zenith,2
9564131,Rotting Christ,...Pir Threontai,4
1873621,The Smithereens,Now and Then,2
2325237,Lara Fabian,La différence,4
3045446,Eminem,My 1st Single,1
6113763,Dennis Ferrer,Touched the Sky (feat. Mia Tuttavilla),0
1378765,The Revolution Smile,The Ride of Los Angeles,4
660367,Moss Icon,Moth,2
7927577,Stan Van Samang,Scars,2
1064786,Fairground Attraction,Allelujah,3
7216674,Marc Broussard,Y'all Ain't Ready,1
8401505,New York Dolls,This Is Ridiculous,1
2948199,The 411,China Girl,0
9771093,Ed Bruce,You're the Best Break This Old Heart Ever Had,0
1616133,Articolo 31,Solo per te,4
3398095,Vital Remains,Divine in Fire,1
1007673,Jawbreaker,Ashtray Monument,1
12301545,Pearl Jam,"Push Me, Pull Me",2
7032838,Giuliano Palma & The Bluebeaters,Show Me the Way,4
3484055,Burnt by the Sun,You Will Move,1
5657124,Darren Hanlon,Fun Park Fugitives,0
5923389,dEUS,Pocket Revolution,2
2373481,Laura Nyro,Blackpatch,3
7887636,Redd Kross,Ugly Town,1
4902759,Lou Reed,Big Sky,0
1275286,Peter and the Test Tube Babies,Tupperware Party,0
818813,Sacramentum,Awaken Chaos,1
6030494,Crime Mob,Rock Yo Hips,0
1578438,Renato Russo,Cathedral Song,3
821504,The Georgia Satellites,Railroad Steel,0
9384018,Firefall,Goodbye I Love You,2
5334707,Gordon,Let It Be Me,3
9004969,Johnny Foreigner,Criminals,1
985238,Carlos Ponce,Déjate querer,4
2275577,Ronan Keating,Baby Can I Hold You,0
1579018,C-Rayz Walz,Battle Me,1
824616,Slayer,Read Between the Lies,1
3573408,Elvis Presley,Wonder of You,3
1070715,Souls of Mischief,Secret Service,1
3483541,Édith Piaf,Les Amants,4
2324507,Econoline Crush,All That You Are,1
5025426,NOFX,You Will Lose Faith,1
618853,Rita Marley,Harambe,2
5060772,Saxon,Wheels of Steel,0
4078444,Smokie,Norwegian Girl,3
852457,Blind Melon,New Life,0
5302269,Roses Are Red,Running Out of Time,1
1386396,Now It's Overhead,Who's Jon,2
1951359,Helen Reddy,Ain't No Way to Treat a Lady,1
6601197,Don Choa,Ne te tue pas,4
3719329,Patience & Prudence,Gonna Get Along Without Ya Now,0
2650855,Diablo,Icon of Flesh,1
1263917,24-7 Spyz,Jungle Boogie,0
1333886,KISS,We Are One,0
4973817,Aborym,I Reject!,1
3410204,Rose Chronicles,Awaiting Eternity,2
9603341,Laurie Anderson,Sweaters,0
1139701,Sammy Kershaw,Queen of My Double Wide Trailer,3
3996684,Nina Simone,Let It Be Me,2
2420425,Dio,Hunter of the Heart,1
3455489,Patrizio Buanne,L'italiano,4
5331989,Paul Davis,Thinking of You,3
663970,Lawnmower Deth,Feetcleaner,1
2018702,Tracy Chapman,The Rape of the World,1
1097076,Julee Cruise,In My Other World,0
5637358,Troublemakers,Naken,1
996921,The Byrds,Bad Night at the Whiskey,2
1506170,Quasi,Empty Words,2
6794599,Ava Inferi,Pulse of the Earth,1
5097786,Darden Smith,Talk Me Down,2
1830835,Novembre,Flower,1
1858049,Mic Geronimo,Be Like Mic,4
5690856,Traffic,Light Up or Leave Me Alone,1
1225754,The Crystal Method,Jaded,1
2405137,Hawthorne Heights,Niki FM,2
735889,CAKE,Stickshifts and Safetybelts,0
1123361,King Diamond,The Candle,1
1051939,Beverley Craven,She Doesn't Need Saving,2
2366205,Midtown,To Our Savior,0
2284356,Bushman,Give Jah the Praise,0
3834594,John Stevens,My Blue Heaven,0
4520004,Wilco,I Got You,3
9405842,PFR,Great Lengths,3
1048395,The Reindeer Section,I've Never Understood,2
5444349,Special Needs,Gloucester Road,0
9177448,The Orioles,Crying in the Chapel,2
8755715,Groove Coverage,God Is a Girl,0
5230902,Gotye,Coming Back,2
1428170,The Dickies,Going Homo,0
5095751,None More Black,You Suck! But Your Peanut Butter Is OK,1
9570474,Fear Factory,Burn (Flashpoint),1
4247169,Rui Veloso,Lançado,0
3901057,Thierry Hazard,Le Jerk,0
2824456,Frank Black,Into the White,1
5809264,Jesus Jones,Spiral,1
744051,Nailbomb,Sum of Your Achievements,1
4291032,Stephen Duffy,A Masterpiece,2
4276532,Dick & Dee Dee,Where Did the Good Times Go,2
2832666,Misery Signals,On Account of an Absence,1
2431286,JK,You Make Me Feel Good,0
5634442,RuPaul,The Price of One (Craig C. Ruvisited),0
1523327,k-os,The Anthem,1
8192616,And Then There Were None,Thank the Watchmaker,2
3485330,Edo Maajka,Šank,4
8312743,BoDeans,Fadeaway,2
6270946,B.B. King,It's My Own Fault,2
7539602,Bonded by Blood,Vengeance,1
3263440,Ice,Lost in You,1
6212814,Strata,Daylight in the City,2
9363064,Will Young,Leave Right Now,2
2300863,Kinnie Starr,Come,0
4411444,Lucille Bogan,Drinking Blues,0
2830286,Fireball Ministry,Muscle of Love,0
1211566,Onyx,Throw Ya Gunz,1
8953069,Everclear,Learning How to Smile,2
8682312,Four Year Strong,Ironic,1
1866002,A Flock of Seagulls,Nightmares,1
9445724,Roy Orbison,Crying,2
636453,Silly Wizard,The Queen of Argyll,0
1034348,Justin Sane,61C Days Turned to Nights,0
2486718,Bernadette Peters,Time Heals Everything,2
6226356,Gogol Bordello,Alcohol,2
2914531,Santana,Evil Ways,0
2284132,Phil Ochs,When I'm Gone,2
5160831,The Mamas & the Papas,Do You Wanna Dance,0
1934565,Dan Reed Network,Long Way to Go,2
6373539,Himsa,Haunter,1
7070605,Hawk Nelson,You Have What I Need,1
8507660,Anarbor,The Brightest Green,0
1354612,Prince,Private Joy,0
4711700,Paul Anka,Can't Get Used to Losing You,2
6056988,Die Fantastischen Vier,Du und sie und wir,1
7666699,Coldplay,Rainy Day,3
964907,Ruff Endz,Don't Stop,3
2443554,Babylon Circus,Interlude barbare,4
827078,The White Stripes,Wasting My Time,1
9673440,CocoRosie,Undertaker,2
1751077,Hatebreed,Tear It Down,1
8554110,De-Grees,Circle in the Sand (Ti-Mo vs. Stefan Rio remix edit),0
8001643,In Fear and Faith,You Already Know You're a Goner,1
3569433,The Hollies,Survival of the Fittest,0
9491325,Status Quo,Don't Stop,0
2481162,Loikaemie,Ede aus dem Knast,1
9378755,Christopher Cross,Talking in My Sleep,2
1970749,Thyrfing,A Burning Arrow,1
2284839,Stray Cats,Rumble In Brighton,1
4701170,Carolyn Arends,There You Are (Live),4
2897941,Alcazar,Funky Feet,0
685658,Annie Lennox,Don't Let It Bring You Down,2
8123743,Carrie Newcomer,Something Worth Fighting For,3
2591615,Willy Chirino,Rumbera,0
6571761,Nana Mouskouri,Song for a Winter's Night,2
7525488,The Automatic,Bad Guy,1
6553444,The Coral,Dreaming of You,2
2415198,Tommy Alverson,Texas Woman,1
706693,Blood for Blood,Anywhere but Here (Maybe Someday),1
2775710,The Righteous Brothers,Just Once in My Life,2
1852041,Loretta Lynn,Peace in the Valley,0
7678073,The Pierces,I Don't Need You,2
2270259,4 Promille,Fight for Your Class,1
792467,Third Day,My Heart,0
1425521,BeBe & CeCe Winans,No Hiding Place,0
6513045,Glen Campbell,If Not for You,2
1171071,Martin Briley,Just A Mile Away,4
5151513,Barry Louis Polisar,"I Can't, I Can't",1
698685,Nelly,St. Louie,1
730581,LaRue,Reason,2
1474368,Liam Lynch,SOS,0
7674229,Oasis,Boy With the Blues,0
1940219,Her Space Holiday,Meet the Pressure,2
7872787,Stephanie McKay,Sure Feels Good,0
1338123,Luther Vandross,Heaven Knows,0
7131410,Brakes,Hold Me in the River,0
1172477,Missing Persons,Noticeable One,0
13645746,Gigi D'Agostino,Those Were the Days,0
5437277,Under the Influence of Giants,Heaven Is Full,2
3076713,Silent Force,The Blade,1
3867327,Marissa Nadler,Under an Old Umbrella,2
8721718,Danni Carlos,Inbetween Days,2
1092054,The Grass Roots,Midnight Confessions,0
11141641,Lisa Scott-Lee,Make It Last Forever,0
3834229,Orchestral Manoeuvres in the Dark,Burning,2
8625905,Martina McBride,Blessed,2
1283450,Against All Authority,12:00 AM,1
2822351,Galt MacDermot,The Flesh Failures (Let The Sunshine In),1
4152400,Le Rat Luciano,Derrière les apparences,1
3174157,The Ataris,Takeoffs and Landings,0
2176640,Lyrics Born,Callin Out,0
7454482,Finger Eleven,Them vs. You vs. Me,1
1035074,Neil Diamond,At the Movies,0
6258588,Zuul FX,Here Is Pure Hatred,1
2997594,The Exies,Ugly,1
2921912,Train,Landmine,2
6205950,I:Scintilla,Machine Vision,1
7093076,Time Again,Movin' On,0
7026681,Luke Bryan,We Rode in Trucks,2
2828226,Mario Frangoulis,A la Luna de Valencia,2
5485563,Jack Johnson,We're Going to Be Friends,0
3793799,From Autumn to Ashes,Chloroform Perfume,2
5829644,Carla Bruni,Before the World Was Made,2
1500624,Tryo,Pompafric,0
865831,The Style Council,Who Will Buy,2
3940532,Barclay James Harvest,Medicine Man,1
9004419,Sybreed,Nomenklatura,1
1304832,Martin L. Gore,Stardust,0
4290936,XTC,Meccanik Dancing (Oh We Go!),3
6438086,Go-Go's,Let's Get Together,0
1053963,Free,The Stealer,0
931609,Honeyz,Finally Found,0
1008432,Carter the Unstoppable Sex Machine,The Only Living Boy in New Cross,2
760632,Gossip,Sweet Baby,1
1395392,A Flock of Seagulls,Space Age Love Song,0
972580,The House of Love,Hope,2
2220282,Kenny Loggins,Just Breathe,0
6178240,Domine,The Fall of the Spiral Tower,1
4265967,Hanna Pakarinen,Damn You,2
2140044,Heideroosjes,Scapegoat Revolution,1
7063344,Marvin Gaye,Wherever I Lay My Hat (That's My Home),0
4966858,Helen Love,Debbie Loves Joey,0
5306366,Mario Lanza,O Sole Mio,2
1079101,Ms. Jade,Jade's a Champ,1
1151315,Alias,Angel of Solitude,1
5658066,Des'ree,Caring World,2
2876527,The Libertines,Bangkok (demo),0
2144526,The End,Orthodox Unparalleled,1
6561151,Cher,Please Don't Tell Me,2
9763904,Barbara Mason,Yes I'm Ready,0
1948417,Across Five Aprils,My Eyes Murdered Charles Townsend,1
8280264,Metro Station,True to Me,0
8876525,BIGBANG,I Don't Understand,2
9531037,The Sensational Alex Harvey Band,Vambo,1
4019748,Red Hot Chili Peppers,Higher Ground,0
5750533,The Five Keys,Wisdom of a Fool,2
9428764,Mason vs. Princess Superstar,Perfect (Exceeder),0
3073491,Amistades Peligrosas,Menina das favelas,0
969135,Continental Drifters,The Rain Song,0
5914403,Mechanical Poet,Hide and Seek With Cary Nage,1
2777275,Plüsch,Bumerang,4
7332855,Tech N9ne,Shit Is Real,1
3223708,Más Birras,Vuelta atrás,4
1075881,Gareth Gates,Good Thing,0
5317962,Sonny & Cher,You Baby,2
1208186,Kingmaker,Stay Free,1
4172038,matt pond PA,It Is Safe,2
3345837,Seu Jorge,Em Nagoya Eu Vi Eriko,0
8566122,Spın̈al Tap,Stonehenge,4
844476,The Bouncing Souls,Better Life,0
8601249,autoKratz,Stay the Same,0
6400848,Ben Harper & The Innocent Criminals,Fool for a Lonesome Train,3
4059986,Drawn and Quartered,Sodomized and Butchered,1
8883486,W.A.S.P.,Live to Die Another Day,1
4683007,KRS-One,Ah Yeah,1
7201327,E for Explosion,I Explode,0
12654058,Fightstar,Call to Arms,1
3941274,The Exploited,Punk's Not Dead,1
4329318,美勇伝,Tea Break,4
1147639,"Harry Connick, Jr.",Loved By Me,2
836917,Fear Factory,Pisschrist,1
7980129,45 Grave,45 Grave,0
7872309,The Ink Spots,I'll Get By (As long as I Have You),2
4563038,ABBA,Chiquitita,2
2582075,Glow,Every Single Day,4
2018476,Zero Hour,The Towers of Avarice,1
7170016,Martha Wainwright,Bleeding All Over You,2
889314,Stevie Wonder,All I Do,0
1950995,Catch 22,Motown Cinderella,0
1012073,Uncle Tupelo,Screen Door,3
746420,'Til Tuesday,Love in a Vacuum,0
5748826,Shaila,El engaño,0
7102794,Ashton Shepherd,I Ain't Dead Yet,1
9331212,Bobby Vee,Rubber Ball,0
7809461,Jerry Reed,Alabama Jubilee,3
1254029,The Mooney Suzuki,Everything's Gone Wrong,0
1092837,Osker,Going on the Instincts,1
703928,Camel,Refugee,3
8761638,Honor Society,Magic,0
662585,Morbid Angel,Caesar's Palace,2
2946875,Wellwater Conspiracy,Trowerchord,4
4432062,Thelma Houston,Don't Leave Me This Way,1
1986552,Orgy,Make Up Your Mind,0
1014521,2Pac,Fuck All y'All,3
8708244,Blind Lemon Jefferson,Rising High Water Blues,2
2242026,Ice MC,Cinema,0
3410634,Jamie Dee,It's All Over,0
4468378,Bone Thugs-n-Harmony,Tha Crossroads,2
8572206,The Temper Trap,Science of Fear,1
4303233,Dolly Parton,We Used To,2
692079,Morcheeba,Let It Go,3
1807971,Boyz II Men,Silent Night,2
3026714,Bette Midler,Big Noise From Winnetka,0
6028415,Carly Binding,So Radiate,1
9978608,The Dead Weather,Looking at the Invisible Man,1
6463837,Hot Hot Heat,Let Me In,2
6326573,Great White,Take Me Down,0
13139150,Hannah Montana,let's do this,0
13466382,Jeru the Damaja,You Can't Stop the Prophet,1
2543466,Ray Price,Burning Memories,2
2109084,Fisher,Every Time,4
750640,Elton John,Burn Down the Mission,2
3820619,Callenish Circle,Mirror Of Serenity,1
5329942,Yoomiii,A Kiss Is All I Miss,0
8760313,Cassie Davis,Don't Wanna Dance,4
4829190,Debauchery,Rage of the Bloodbeast,1
7008002,Frank Boeijen,Tot bloedens toe,3
743442,Jim White,The Wrong Kind of Love,3
567957,Total Chaos,Initial Distrust,1
6377304,Van der Graaf Generator,W,3
4078445,Smokie,Relying on You,3
8143429,Andrew Lloyd Webber,Masquerade,0
557257,Rob Zombie,Spookshow Baby,1
3640469,Vox Celesta,Der Verführer,4
920421,Sick of It All,District,1
8788119,LeToya Luckett,She Ain't Got...,1
3484108,Cannibal Corpse,Addicted to Vaginal Skin,2
1253612,Adam and The Ants,The Magnificent Five,1
9975842,Dale Hawkins,Susie Q,3
3082454,Matt Wertz,This Moment,2
7483304,Dr. John,Goin' Back to New Orleans,3
2989153,Anthrax,Lone Justice,1
3456755,Smut Peddlers,Fugitive Surfer,1
5293441,Aberfeldy,Uptight,3
1002614,Tift Merritt,I Know Him Too,3
1434560,Pernice Brothers,Water Ban,2
4064605,David Bowie,Do Anything You Say,2
5411300,Rose Cousins,Home,2
671950,Heideroosjes,Iedereen is gek (Behalve jij),4
1258020,Mary Chapin Carpenter,Quittin' Time,3
1265800,The Muffs,Big Mouth,1
1946053,10cc,It Doesn't Matter at All,3
1043256,Devin Townsend,Olives,4
1779353,Sneaker Pimps,Low Five,0
2750713,Freddie Mercury,Love Kills,2
8640154,Eminem,Shake That,0
1102057,Bigwig,Girl in the Green Jacket,1
4024169,The Clientele,Since K Got Over Me,3
3792517,Fannypack,Nu Nu (Yeah Yeah),0
2377081,The Northern Pikes,Kiss Me You Fool,3
9557204,Buddy Holly,Modern Don Juan,3
3763502,Teddybears STHLM,Yours to Keep,0
8828445,Five Finger Death Punch,Hard to See,1
6745768,Edison Glass,Cold Condition,3
7394755,Ida Corr,Lonely Girl,2
12798708,Audio Bullys,Gimme That Punk,1
6728319,Bobby Womack,Falling in Love Again,3
1474382,Liam Lynch,Fake Depeche Mode Song,2
6170225,Maurice Chevalier,L'amour est passé près de vous,4
6360528,Sunset Rubdown,For the Pier (and Dead Shimmering),2
2308413,Ultravox,New Europeans,0
5430266,Pulsedriver,Insane,4
871478,Ann Peebles,I Can't Stand the Rain,2
6594085,Ambitions,The Illusion,4
1792610,Altered Images,Idols,1
1357290,Skillz,Move Ya Body,1
1031984,Alexia,Uh La La La (Almighty edit),3
7608711,Passion Pit,Live to Tell the Tale,3
4104187,N'Klabe,Quizás,4
3483372,Robyn Hitchcock,Cathedral,2
1167937,Bad Brains,Coptic Times,1
5490390,Kaddisfly,Silk Road,2
961767,Linda Ronstadt,Someone to Lay Down Beside Me,3
9801353,Eurythmics,Put The Blame On Me,1
9671231,Blake Shelton,Playboys of the Southwestern World,0
2217593,The Pointer Sisters,Jump (For My Love),0
6844361,The Envy Corps,Before the Gold Rush,1
2826005,Sator,Ride The Jackhammer,0
1726448,88 Fingers Louie,Blink,1
7890278,Bic Runga,Blue Blue Heart,2
683302,Poe,Control,1
1289437,Warren Zevon,Mama Couldn't Be Persuaded,3
8424333,Ben's Brother,Stuttering (Kiss Me Again),3
4976663,Gigi D'Agostino,Thank You for All,3
6794579,Sophie B. Hawkins,Damn I Wish I Was Your Lover,2
1588184,Jedi Mind Tricks,Raw Is War 2003,1
902964,Eric Johnson,Venus Reprise,1
1351636,Counterfit,Feel The Ride,0
7650305,Rise Against,Historia calamitatum,1
5164610,Middle of the Road,Sacramento,3
678871,Testament,The Sermon,1
1488616,Sara Evans,I Don't Wanna Play House,2
1656978,Darren Hanlon,Beta Losers,4
4005586,Rodney Crowell,Glasgow Girl,3
7152684,Hello Saferide,The Quiz,1
13108212,Iration,Falling,0
3001925,James Brown,Try Me,2
6492022,Neil Diamond,Ain't No Way,3
1622399,Xiu Xiu,Tonite and Today (What Chu' Talkin' 'Bout),1
2017973,Sopor Aeternus & The Ensemble of Shadows,Omen Sinistrum,4
673462,Iron Butterfly,Most Anything You Want,0
2710430,Minnie Driver,Everything I've Got in My Pocket,3
6493019,Musetta,Red Star,2
4694314,Kenny Chesney,Only Time Will Tell,3
1766730,Voice of the Beehive,Beauty to My Eyes,3
9640278,Tony Sly,Fireball,2
9799647,Johnny Paycheck,Take This Job And Shove It,1
7187090,Kotki Dwa,Pigswill,4
948457,Slash's Snakepit,Soma City Ward,1
4295120,Tina Cousins,Hymn,0
5176703,Halvdan Sivertsen,Ny & Naken,4
5419700,Kitty Wells,Amigo's Guitar,3
5445268,Gerhard Schöne,Der späte Fred,4
673502,Marilyn Manson,Dogma,2
6345944,War of Ages,Intro,1
8459424,Maria de Barros,Amor luz,3
2581130,Daryle Singletary,That's Where You're Wrong,2
2327975,Capercaillie,Hope Springs Eternal,3
4347142,Flyleaf,Broken Wings,3
1816963,Motorpsycho,Taifun,2
2439088,Plasmatics,You're a Zombie,1
2661880,Interpol,C'mere,0
1317854,The Mr. T Experience,A Zillion Years,4
4732209,Bread,Lay Your Money Down,0
1663756,Gabe Dixon Band,Beauty of the Sea,3
1113059,Noir Désir,Bouquet de nerfs,4
2344270,The God Awfuls,Tonight,1
984307,Knapsack,Boxing Gloves,2
2702985,Severed Heads,Dead Eyes Opened,0
1108309,Ciccone Youth,Making the Nature Scene,1
1310942,Bill Monroe,Will You Be Loving Another Man,3
7920442,Leonid Rudenko,Summerfish,0
1157702,Mellow Man Ace,Mentirosa,1
2795165,Clã,Uma Mulher da Vida,4
2135251,Karla Bonoff,Somebody's Eyes,3
8464803,Oi Va Voi,Everytime,2
1019749,Mastodon,Trainwreck,2
2698729,Paralysed Age,Exile,2
2092916,Milemarker,Food for Worms,1
9693138,The Masters Apprentices,Because I Love You,2
686221,"Harry Connick, Jr.",Just Kiss Me,0
2999627,Coldplay,Have Yourself a Merry Little Christmas,3
6846644,Joan Osborne,Angels We Have Heard On High,3
2207220,Kandi,Can't Come Back,4
3188124,DJ Kun,Conéctate,4
9563191,Darkthrone,Stylized Corpse,1
7989719,Robert Johnson,When You Got a Good Friend,3
1354118,Art Garfunkel,Barbara Allen,2
2443414,The Animals,Club A Go-Go,0
5012618,Benighted,Paranoïa,4
9627752,Enter Shikari,Tribalism,1
769167,Ozzy Osbourne,Black Illusion,1
4963779,Josh Ritter,Good Man,2
8455776,Maxïmo Park,Jean Baudrillard,4
795815,Tracy Bonham,The Real,3
9287058,Andrea Bocelli,I Believe,2
2393662,Tahiti 80,Wallpaper for the Soul,2
1738575,Joe Firstman,"Now You're Gorgeous, Now You're Gone",2
3722519,Only Living Witness,Total Particle Reversal,1
3164492,Black Label Society,Say What You Will,1
4242979,The Association,Six Man Band,3
2018481,Zero Hour,The Ghosts of Dawn,2
4858008,Queensrÿche,Speed of Light,4
2695421,Los Planetas,Rey sombra,0
7727826,Blind Pilot,"Go On, Say It",3
5547014,Severe Torture,Misanthropic Carnage,1
8157718,Guns N' Roses,Street of Dreams,2
6068424,Articles of Faith,False Security,1
1913236,Steeleye Span,Fighting for Strangers,0
4896943,Kenny Rankin,It Had to Be You,2
964984,Guardian,My Queen Esther,2
5265720,Agonoize,Pavillon 5,1
6555818,Peter Bradley Adams,One Foot Down,3
5206931,AFI,Prelude 12/21,2
12631128,Patrick Bruel,Combien de murs,4
1678315,Alice Peacock,I Hear You Say,3
2196793,Butthole Surfers,Fast,1
9257140,Pussycat,My Broken Souvenirs,2
8695406,Saint Etienne,Kiss and Make Up,3
6983048,The Beatles,Be-Bop-A-Lula,0
1323269,The Doobie Brothers,Too High a Price,0
2459970,Lucienne Delyle,Sur les quais du vieux Paris,4
1538723,Danielson Famile,Flesh Thang,0
6441789,Young Deenay,Step Into My Life,0
1166603,Lisa Germano,We Suck,2
8018997,Deep Purple,No One Came,1
5644871,Nightwish,Sacrament of Wilderness,1
4239898,Anja Garbarek,This Momentous Day,0
10099104,Dolly Parton,Heartbreak Express,2
6302303,Joan Baez,Don't Think Twice It's Alright,3
7883648,Biagio Antonacci,Sognami,4
3158947,Émilie Simon,Ice Girl,3
2867492,Ian Dury,Have a Word,3
4059261,River City Rebels,No Easy Way Out,1
1091308,Saliva,Back Into Your System,0
12336558,Muse,The Groove,1
1940217,Her Space Holiday,Sleepy California,2
3013244,Webb Pierce,It's Been So Long,2
7865023,Umphrey's McGee,40's Theme,1
4459981,Gary Moore,Wild Frontier,1
8565380,Rise Against,Survive,1
4563040,ABBA,Kisses of Fire,0
9224163,Chapterhouse,Autosleeper,1
2163607,Disillusion,A Day by the Lake,0
5427133,Charles Brown,"Merry Christmas, Baby",0
6345949,War of Ages,Only the Strong Survive,1
2839486,Aventura,Papi Dijo,0
2761563,Doc Watson,My Home's Across the Blue Ridge Mountains,2
2247204,Jethro Tull,Dark Ages,1
6553030,Lofofora,Nobody's Perfect,4
1368325,Brand Nubian,Straight Outta Now Rule,1
