tid,mxm_tid,artist_name_mxm,title_mxm
TRMMGBQ12903CDF86A,2797188,The Bonzo Dog Band,Kama Sutra
TRMMGYY128F4289515,4366100,Fausto Leali,E non lo scorderò
TRMMGHM128F4270EA7,653426,Link 80,What Can I Do?
TRMMGMC12903CF7FF0,2429761,Spyro Gyra,Pacific Sunrise
TRMMGDG12903CDB0E8,1410926,White Willow,Gnostalgia
TRMMGPB128F428B04A,4279431,Robbie Williams,Sin Sin Sin
TRMMGEG12903CB4CFC,4584817,Prager Handgriff,Bihac
TRMMGAX128F428FD18,2444038,The American Boychoir,"Praise, My Soul, the King of Heaven"
TRMMGGP128F934AD1D,595965,Thought Industry,Edward Smith
TRMMGEU12903CF009A,1918767,Red Animal War,Dark Country
TRMMGST128F92F25EC,4198081,Lonesome River Band,Highway Paved With Pain
TRMMGRZ12903CE1C82,787959,Jason Becker,End of the Beginning
TRMMGUF12903CB279D,9461332,Sunscreem,Britannia
TRMMGPI128F932E6D7,3103434,Motormark,I'm About to do Something (That I'm Gonna Regret)
TRMMGYR128F4282BAE,6543947,Underworld,Ring Road
TRMMGTM128F930282D,2604007,Airscape,L Esperanza
TRMMGPL12903CCDB98,6050645,Neal Morse,That Crutch
TRMMGDP128F933E59A,5377534,Al Green,I Say a Little Prayer
TRMMGJZ128F4270235,4255395,The Muffins,Dawning Star
TRMMGKQ128F934B4CE,2663913,The Funky Lowlives,Irreplaceable
TRMMGCK128F932EC2E,9139662,Brian Vander Ark,And Then You Went Away
TRMMGKX128F421ADC1,6081435,Debbie Davies,You Don't Know What You're Doing
TRMMGNC12903CABD4A,3401182,Boo Hewerdine,Touched
TRMMGSH128F4243869,9008366,Katatonia,Day and Then the Shade
TRMMGGU128F14A93DD,1679564,Zen Café,En oo koskaan tavannut
TRMMGUF12903CAFF44,4241890,Warlocks,Militant Musicfreaks
TRMMGIB12903D043E5,8862459,Luis Bacalov,The Color of the Water / Dreaming of the Future
TRMMGKT12903CA6C1A,1805293,David Ryan Harris,Nothing More to Say
TRMMGER128F9324C09,5857421,La Souris déglinguée,Rock n' Roll Vengeance
TRMMGVE128F427B346,12537962,Mickey 3D,Qui ? (version Baba Cool)
TRMMGXC12903CB18F6,9022372,Glen Glenn,Laurie Ann
TRMMGRT128F93517C1,6661369,Sofia Karlsson,Näckaspel
TRMMGZH128F14AE4CF,1785627,Steve Taylor,Whatcha Gonna Do When Your Number's Up?
TRMMGMB128F9321A3E,3854179,Junkyard,Waste of Time
TRMMHOK128F4273A4E,2642038,JK,Deep in the Night
TRMMHGT128F42B91AD,3925282,Teairra Marí,Make Her Feel Good
TRMMHTC12903C9AF55,1466203,Morrissey,Margaret on the Guillotine
TRMMHBF12903CF6E59,1330307,Laurel & Hardy,"At the Ball, That's All"
TRMMHWI128F423B6AD,1550751,Pestilence,Presence of the Dead
TRMMHDI128F42442F4,6228678,Biffy Clyro,Love Has a Diameter
TRMMHBW12903CAFDE7,6665464,Mental Overdrive,Communion
TRMMHRD128F4243970,4060021,Exhumed,No Quarter
TRMMHIC128F92E8AE7,692229,Johnny Cash,Rowboat
TRMMHAK128F42667CA,1101040,The Derek Trucks Band,Home In Your Heart (Feat. Solomon Burke)
TRMMHGC128F9338059,5226988,New York Rel-X,Sold Out Of Love
TRMMHYH128F4262566,4727301,Sensations,He's So Brave
TRMMHEG128F42783F1,4897884,Bad Dream Fancy Dress,Rave Up
TRMMHMD128F427428D,2408193,Blue Foundation,02.17 AM
TRMMHAK128F4244179,883327,The Real Kids,She's Alright
TRMMHCQ128F92C9727,8573793,Dora the Explorer,Itsy Bitsy Spider
TRMMHXD128F92E344B,9671801,Billy Cobham,Mirage
TRMMHKG128F425EBC4,4412056,EM1,How Great Is Our King
TRMMHGY128F42956EC,8786998,Santa Claws and the Naughty but Nice Orchestra,Battery
TRMMHKG12903CDB1B5,9761524,Foals,Black Gold
TRMMHRF128F424C910,6514985,Lird van Goles,Walk In Holy Ghostwood
TRMMHVC128F92F2941,5972476,Mississippi Sheiks,When You're Sick With the Blues
TRMMHFS128F93039A6,13262636,Jessica Folcker,Snowflakes
TRMMHIG128F4228C77,6505358,Visací zámek,Traktor
TRMMHBL128F42BA0A8,7571178,Bryn Christopher,Smilin'
TRMMHXQ12903CA60B8,5159282,Voltio,Atrevida Bandolera/El Estudio (remix)
TRMMHFO128F426E55C,2965124,Hexstatic,Distorted Minds (feat. Juice Aleem)
TRMMHND128F1479356,7151902,Mediengruppe Telekommander,Trend / Sprengkörper (Live) (Medley)
TRMMHEB128F930B953,9624428,Middle Distance Runner,The Fury
TRMMHZK128F933648C,3763114,Denison Witmer,Lawyers and White Paper
TRMMHMD128F42915F1,6498653,Boney M.,Gotta Go Home
TRMMHWM128F9316BD3,4396597,Michael Stanley Band,Gypsy Eyes
TRMMHFP128F935450F,6073525,The Show Is the Rainbow,Three
TRMMHLC128F92D80ED,4426386,Kill the Client,Gridlock
TRMMHPJ12903CF3225,9723532,Giant Drag,White Baby
TRMMHDT128F422F115,833865,Thursday,A Hole in the World
TRMMHAV128F427F9E8,3935805,The Kitty Vermont,That's Why I'm Leaving
TRMMHMD12903CEC613,11125719,Janie Fricke,Your Heart's Not In It
TRMMHMZ128F92F3424,3897427,Johnny Ventura,La hamaca grande
TRMMHSM128F42B0CB8,645059,The H&S Mamitas,Willie Barcena
TRMMHKH128F92FD60E,7272222,Miquel Brown,This Time It's for Real
TRMMHXV128F930119C,1664167,Davol,Final Promise
TRMMHUV128F424E0C3,6551181,The Cult,Stand Alone
TRMMHCS128F92E6CBC,7767345,J. Tillman,If I Get to the Borderline
TRMMHPF128F931BDD6,8020014,Joshua Redman,Insomnomaniac
TRMMHIT12903CFAF12,6158504,Leonard Cohen,Tonight Will Be Fine
TRMMHMJ128F423816F,1071191,Linda Ronstadt & The Nelson Riddle Orchestra,Straighten Up and Fly Right
TRMMHWD128F14AE65F,1253196,Michael Card,Will You Not Listen
TRMMHGZ12903CD9677,2383841,Floor,Kallisti - Song for Eris
TRMMHVN128F428E67E,2737569,Falco,Zuviel Hitze
TRMMCPK128F424A9DE,6091966,Lighnin' Hopkins,Bunion Blues
TRMMCKH128F1494939,3410429,Perturbazione,Se fosse adesso
TRMMCTR128F145CE15,6699115,Bobbi Humphrey,Please Set Me at Ease
TRMMCGW128F422C4B9,7419236,Angelus Apatrida,Killers And Killed
TRMMCKG128F426E651,6722450,Operator Please,Pantomime
TRMMCJR128F42667B2,6862782,Spencer Parker,Beautiful Noise
TRMMCTJ128F933AE36,4164179,Katie Melua,Nine Million Bicycles
TRMMCBU128E0791823,865066,The Cranberries,Do You Know
TRMMCFW128F4285276,7298297,Juan Formell y los Van Van,La Titimania
TRMMCLY128F426B2EA,6025609,Teenage Bad Girl,Vacuum
TRMMCXU128F42A4DD1,1314316,Scandinavian Music Group,Sä
TRMMCNI128F42AC53B,4595425,Martina McBride,You Win Again
TRMMCDR128F423AB03,6749264,Michael Cera & Ellen Page,Anyone Else but You
TRMMCBB128EF34BE2D,6828417,Scott Glasgow,Maia Sterling
TRMMCJQ12903CD48A9,10114267,Bone Thugs-n-Harmony,Wanna Be
TRMMCNX12903CA35F7,6546163,Lou Rhodes,The Rain
TRMMCGY128F424E03F,1019566,E.G. Daily,Shake It Up
TRMMCYD128F92C7FDF,2823603,Russ Taff,I Cry
TRMMCWV128F424428E,3907342,Peter Schilling,Major Tom '94 (radio version)
TRMMCFO128F426C420,2461503,Brandy,Who I Am
TRMMCAC128F9325E72,10062832,Peter van Hoesen,Closing the Distance / Toy Universe
TRMMCHV128F427D29E,7242343,Harper Simon,Henrieta
TRMMCZK128F92F5288,7178887,3 Doors Down,Your Arms Feel Like Home
TRMMCHN128E079507C,2738337,Cornelis Vreeswijk,Telegram för en tennsoldat
TRMMCCU128F92E1A71,5470936,Brazilian Girls,Never Met a German
TRMMCIE12903CC2DB0,5339243,Career Suicide,Stones You Throw
TRMMCDO128F146A75B,784635,Photek,Solaris
TRMMCKM12903CF4808,5180710,Gilberto Gil,Oriente
TRMMCMA12903CDB675,8723656,Robert Pollard,Perverted Eyelash
TRMMCLY128F148C23F,6795440,The Race,Wandering Eye
TRMMCYF128F421536F,1546591,Marta Sánchez,Tiempo Al Tiempo
TRMMCPH128F429F862,4330257,Puddle of Mudd,Out Of My Head
TRMMCKW128F428E54C,2105700,Raging Speedhorn,Knives And Faces
TRMMCZF128F9339016,6848546,Leonard Cohen,Suzanne
TRMMCWE12903D02774,7713198,Max Brannslokker,Raimonds Pauls
TRMMCVW128F93401E3,567724,R.L. Burnside,Don't Stop Honey
TRMMCTY128F9360E87,4989550,Omar & The Howlers,Girl's Got Rythym
TRMMCLO128F92ECA18,8106505,Jane Monheit,I Do It for Your Love
TRMMCQT128F9318823,8626884,Bethany Dillon,All I Need
TRMMCAU128F9332597,12911360,Yggdrasil,Beyond the Borders of Sanity
TRMMCRH12903CDE79B,5213333,Popsicle,Blow Up
TRMMCUQ128F92CA654,599714,Roosevelt Sykes,Music Is My Business
TRMMRDO128F4233510,3204417,Albert Cummings,Your Sweet Love
TRMMRZW128EF34DF59,6034507,The Chariot,Back to Back
TRMMRIE128F92FB226,7388065,M.I.K.E.,A Better World (vs. Andrew Bennett)
TRMMRNI128EF34C4A7,5278919,Eläkeläiset,Humppakavalier
TRMMRRC128F4278129,9220509,Big John Greer,Clambake Boogie
TRMMRJJ128F9319DE9,1341060,Alejandro Fernández,Júrame
TRMMRXH128F14AE815,1258333,Steve Green,We Trust in The Name of The Lord Our God
TRMMRJG128F42A7B19,9598704,Premiata Forneria Marconi,Chi ha paura della notte
TRMMRIO128F423DD33,1046219,Mark Lanegan,Sunrise
TRMMRFQ128F425A508,7077652,The Marx Brothers,Harpo Speaks
TRMMRPV128F93110FE,8661316,Nouvelle Vague,The American
TRMMRJL128F92C48AB,7146887,The White Tie Affair,The Letdown
TRMMRIT128F4278B2C,2969516,Carla Bozulich,I Couldn't Believe It Was True
TRMMRYK128F92EE6B7,8145899,Stinking Lizaveta,A Man Without a Country
TRMMRGC128F4277BFF,2748382,9 Shocks Terror,Sex
TRMMRFI128F148ADDA,1524729,Eastmountainsouth,Show Me the River
TRMMRNL128F14AA221,3237690,24-7 Spyz,Fire and Water
TRMMRYT128F42B228E,3797683,Frenzal Rhomb,You Can't Move Into My House
TRMMRQQ12903CD4323,2973522,Virus,Carheart
TRMMRYN12903CF2E58,7041103,Swat-Squad,Bastardo
TRMMRUH128F92E9CA8,5173817,Venice Is Sinking,Andropolis
TRMMRCX128F933DB3B,13645934,The Oscar Peterson Trio,Things We Did Last Summer
TRMMREE128F425C8FD,6497841,Takana Zion,Conakry
TRMMRVE128E0796429,6073420,Breite Seite,Kein Wort
TRMMROM12903CB6FD4,7921963,Cab Calloway,Jonah Joins the Cab
TRMMRWO128F92F8A4C,4884531,Fetterline,Scarlet Winter
TRMMRBW128F4284BDB,1424564,DJ Quik,Quik's Groove VII
TRMMRZS128F9316283,8161716,Alberto Fortis,L'uomo grande
TRMMRZQ128F14A4E44,1326649,Penguin Cafe Orchestra,Telephone and Rubber Band
TRMMRRA12903CBE801,2143075,J-Kwon,U Ain't Gotta Like Me
TRMMRXG128F424865E,8566840,The Answering Machine,Emergency
TRMMRWX12903CF4DF1,13433015,The Wonder Years,Everything I Own Fits In This Backpack
TRMMRUF128F427A25F,8306423,Piccola Bottega Baltazar,Gli amanti di Valmorel
TRMMRVL128F92F6767,3911913,Rhian Sheehan,Cosmology
TRMMRKO128F92F2B84,4648840,Anti-Nowhere League,Am I Dead
TRMMRFV128F931E054,3067652,Mutabor,Schmetterlinge
TRMMRRP128F427CC01,4397385,Fito Páez,Tres agujas
TRMMRHG12903CC6BE2,8291271,Yma Sumac,Ataypura - High Andes
TRMMRGF128F4263395,3282847,Pony Club,Single
TRMMRJD128F42756E5,7353107,Sunbeam,Outside World
TRMMRUB12903CA097C,2379735,Brook Benton,Lie to Me
TRMMRJO128F933C229,2085990,Les Wriggles,Dieubouddhallah
TRMMRAC128F4238209,6612739,Josh Turner,The Way He Was Raised
TRMMRCO128F42705EB,1557085,Mouse on Mars,Subnubus
TRMMRGB128F92EBE23,8548211,Crash Parallel,Long Night Dreaming
TRMMREB12903CEB1B1,4253176,Slim Harpo,I've Got Love If You Want It
TRMMRMK128F92DF44D,8145804,Glissade,Burned in Blue
TRMMBSC128F42B9B21,8875820,Akcent,Feel Me
TRMMBSC128F9342FBA,1724820,Claire Hamill,Denmark
TRMMBCM128F423BB90,739429,Madredeus,O sonho
TRMMBDC128F4292DA9,1435580,Boyd Tinsley,Perfect World
TRMMBDE128F932F640,1348953,blink-182,Boring
TRMMBJW12903CB2C57,2116442,Trader Horne,Velvet to Atone
TRMMBHK128F427CC41,1339651,David Lanz,Escapades of Pan
TRMMBOK128E07999DD,7358495,Ms. Dynamite,Gotta Let It Go
TRMMBVA12903CFB9E0,12396753,Peter Broderick,Awaken/Panic/Restraint
TRMMBDB12903CE37DB,2321746,Richard Berry,Yama Yama Pretty Mama
TRMMBHY128EF34FE6A,1196278,Billy J. Kramer,From a Window
TRMMBZT128F9329034,5326199,The Count Bishops,Down the Road Apiece
TRMMBIO128F4262553,3413177,Union 13,A Short Supply (Of Truth)
TRMMBVF128F932AD4B,3050980,Helix,Animal House
TRMMBAR128F4274AE3,3946752,Afu-Ra,Power Skit #2
TRMMBRU128F9310F18,8424373,I Concur,Oblige
TRMMBEI128F422A590,5890968,Nação Zumbi,Voyager
TRMMBNU12903CA3813,6546169,Lou Rhodes,This Love
TRMMBWS128F42787ED,3959813,End of Fashion,Hardcore
TRMMBCH128F92F9A94,9758626,Cliff Richard,Somewhere Along the Way
TRMMBXD128F1477148,9347308,Dashboard Confessional,Morning Calls
TRMMBGI128F92D19C4,6062973,Lewis Taylor,Track
TRMMBCD128F429AA45,6074577,Middle of the Road,Give It Time
TRMMBSH128F424A4ED,3509119,Robert Hood,The Body Human
TRMMBBL128F146722B,6960204,June Christy,(It Will Have to Do) Until the Real Thing Comes Along
TRMMBQC128F934B56B,10240529,Tristan Garner,Give Love
TRMMBBF128F931C337,7458910,Black Sabbath,Wishing Well
TRMMBMI128F421A4C2,2005930,Roger Creager,What's a Lonely Girl to Do
TRMMBQL128F42620F8,6389476,Bodies of Water,It Is Familiar
TRMMBIO12903CBBE27,3391800,Dino Merlin,Zid
TRMMBTA12903CF1FB6,2195226,Stampin' Ground,Bear the Scars
TRMMBWO128F4244A67,6094426,Luka Bloom,Gypsy Music
TRMMBTX12903C9C04A,8941110,Sebkha-Chott,All Blacks
TRMMBGI128E0788B31,7429936,Air,Casanova 70 (The Secret of Cool)
TRMMBDK128F425F699,6774444,Tiny Masters of Today,Hey Mr. DJ
TRMMBOZ128F1470286,1231350,Damon Albarn & Malian Musicians,Sunset Coming On
TRMMBUX128F930B141,2529357,Neikka RPM,I Am Your Girl (Love Is Blue Remix By A.T:F)
TRMMBAH128F92C2934,2119819,Entombed,Year One Now
TRMMBPI128F14A48E6,934093,Down to the Bone,Electra Glide
TRMMBQZ12903CF0F9A,8732232,No Age,Genie
TRMMBZW128F148BDA4,2696058,Samantha Mumba,What's It Gonna Be
TRMMBOC12903CEB46E,6754347,Marcus Worgull,Dragon Loop
TRMMBRN128F4256A56,3580998,Deadsoil,The Promise
TRMMBIY128F149F02C,5132628,The Undisputed Truth,Poontang
TRMMBMP12903CDCE45,1036360,Johnny and The Hurricanes,Buckeye
TRMMBHE12903CFF29C,6936156,Rumble Pack,Back to Basics
TRMMFCR128F147F293,6866957,Jealousy,Lucy
TRMMFJW128F149EF7F,919466,The Temptations,I'm Glad There Is You
TRMMFEX128F92FC4F4,5211539,Roger Daltrey,Would a Stranger Do?
TRMMFNT128F146AB95,1080795,BeBe Winans,Thank You
TRMMFRZ128F9331C09,2907594,Richard Galliano,Giselle
TRMMFSL128F4234583,6445226,Kanye West,Drunk and Hot Girls (feat. Mos Def)
TRMMFUB128F425E857,7094741,Senore Matze Rossi,Ich lasse mir nichts mehr nehmen
TRMMFKN128F931775E,4801997,Twenty 4 Seven,Good Times
TRMMFHU128F92D7E48,8138595,Johnny Cash,Children Go Where I Send Thee
TRMMFQZ128F92F56FC,3037761,Flux of Pink Indians,Background of Malfunction
TRMMFTD128F14A23A6,5882688,Boss Volenti,The Gun
TRMMFAR128F42986F7,3932140,Operation Ivy,Knowledge
TRMMFKY128F423A78F,7252938,Padded Cell,Savage Skulls
TRMMFQU128F9342A64,5447989,Inhume,Fucked with Paranoia
TRMMFVV128F426A658,6682980,Saxon,747 (Strangers in the Night)
TRMMFFA12903CE7323,629421,Judy Mowatt,Think
TRMMFJS128F93428C7,3822674,Commit Suicide,Ablation
TRMMFIS128E078EDEA,4038543,Aerosmith,Cryin'
TRMMFYF128F421EFDE,4441547,Ricaine,308
TRMMFIG128F1464EDA,1096096,Erasure,Victim of Love
TRMMFAF128F933C3C9,12708341,Lio,Je me tords
TRMMFZM12903CBD45C,3765181,Ubar Tmar,"When the Light is Gone (Live at Arasaki Beach, 96 Summer of Love)"
TRMMFMZ128F93302C0,5549039,FFH,Through My Eyes
TRMMFVZ128F92FE11F,12248025,The Spektrum,Nenphilis
TRMMFRN128F92E5FEF,9764800,The Hoosiers,Cops and Robbers
TRMMFXR12903CF4536,4556850,Paradise Lost,Intro
TRMMFXM128F424295C,7207130,Topmodelz,Something About You
TRMMFIU128F42357BF,761338,Good Riddance,Yesterday's Headlines
TRMMFIR128F4221C4F,4007429,Kaya Project,Stone Turns Black
TRMMFLA128F425C1C0,4179260,The Last Dance,Wake Me Screaming
TRMMFEH128F424B406,3856463,The Exies,1970 +
TRMMFHL128F146E5ED,3508292,Nerina Pallot,Nickindia
TRMMQPE128F423A34E,7937783,Happy Mondays,Moving in With
TRMMQTK128F42729AC,9545865,Jerry Ropero,The Storm (feat. Cozi Costs) (John Dahlbäck dub)
TRMMQMP128F423A7E3,7230102,Jenniffer Kae,Ebb And Flow
TRMMQFO128F14A214E,1858619,Claw Boys Claw,Bones
TRMMQJH128F1464A57,2974626,Liam Lynch,Happy Song
TRMMQZZ128F4249F40,1548545,Erich Kunzel and the Cincinnati Pops Orchestra,Danse Macabre
TRMMQOV128F4272A48,4250903,Bob Marley & The Wailers,No Sympathy
TRMMQPD128F92F6AFD,7799756,DJ Remy & Roland Klinkenberg,Till Ya Drop!
TRMMQAN128F4286DFA,5467828,Arnaldo Antunes,Eu Não Sou da sua Rua
TRMMQFA128F4281BAC,7213780,Kari Tapio,Tom Dooley
TRMMQKR12903CD5675,3540736,Lars Vegas Trio,Två av oss
TRMMQEM12903CB415B,13233233,220 Volt,Woman in White (live)
TRMMQRB12903CA3738,5169250,Slowpho,Devoted
TRMMQGS128F423CA04,2313580,Jaco Pastorius Big Band,"Amerika (live, 1982)"
TRMMQSP128F1486267,2920483,Story of the Year,Until the Day I Die
TRMMQYP128F428E72A,3731563,The Untouchables,Shine On
TRMMQVN128F4262999,833801,Joe Satriani,Rubina's Blue Sky Happiness
TRMMQPT12903CBFF20,697660,"Emerson, Lake & Palmer",Still... You Turn Me On
TRMMQQR12903D033B4,9642685,Los Compadres,Los Barrios De Santiago
TRMMQUB128F42893CA,9366206,Steve Cropper & Felix Cavaliere,Love Appetite
TRMMQNL128F933A7FB,8771389,Årabrot,I
TRMMQDL128F424272B,8473533,Ambrosia,Holdin' on to Yesterday
TRMMQPR128F9330C05,4798637,I Walk the Line,The Man Without a Name
TRMMQQT12903CB44E8,7974616,Ed McCurdy,The Playhouse Saint
TRMMQMT128F148AACB,3129103,Grand Ulena,Between Tholozan and Oleatha
TRMMQAX128F9334E48,8647108,"Crosby, Stills & Nash",House of Broken Dreams
TRMMQUO128F92EFDA8,7617682,Shit and Shine,Nuns Leg
TRMMQDK128F4266EBF,3225323,Megalon,Son's of Sarah Connors
TRMMQPM128F4266029,6586130,Cobra Starship,My Moves Are White (White Hot That Is)
TRMMQQP128F429096F,4450686,Cabballero,Hymn
TRMMQOL128F9340687,6759425,Paramore,Rewind (demo)
TRMMQFP128F92F0413,3658000,System of a Down,This Cocaine Makes Me Feel Like I'm on This Song
TRMMQWC128F4233674,8990875,Josh Pyke,Sew My Name
TRMMQMY128F930BD2F,2968834,Barry Brown,Give Thanks and Praise
TRMMQQU128EF3583ED,5421840,Williamson,Sailing to the Bottom
TRMMQUQ128F4261E3A,1319761,The Dickey Betts Band,The Blues Ain't Nothin'
TRMMQME12903CD2B9D,2920673,Naked Raygun,Entrapment
TRMMQCW128F930E26F,6844095,Kaizers Orchestra,Kaizers 115. drøm
TRMMQUA128F425761E,1586590,Wesley Willis,Jesus Christ
TRMMQXZ128F92D0A0E,6661704,Manjul,Hungry Belly
TRMMZRE128F42B799E,1594812,Daniel Balavoine,Sauver l'amour
TRMMZJO128F42434B2,7163207,Sandhy Sondoro,Don't Let It Bring You Down
TRMMZSA128F4233C55,2392350,"Willie ""Big Eyes"" Smith",Tell Me Mama
TRMMZSX128F4285EEC,3450366,Planlos,Rock-Legenden
