f_name,a_name,title,lyrics
happy_all/Bossy (Explicit) (Feat. Too Short).mp3,Kelis,Bossy,"Hey a You don't have to love me You don't even have to like me But you will respect me You know why? 'Cause I'm a Boss  Uh, uh, watch the beat go Uh, uh, watch the beat go (Bangladesh) Uh, uh, watch the beat go Uh, uh, watch the beat go  I'm bossy I'm the first girl to scream on a track I switched up the beat of the drum That's right, I brought all the boys to the yard And that's right, I'm the one that's tattooed on his arm  I'm bossy I'm the bitch y'all love to hate I'm the chick that's raised the stakes I told young stunna he should switch to Bape I'm back with an 808 'cause I'm bossy  Oh, lemme slow it down for ya so you can catch the flow Screw it up make it go extra slow Real girls get down on the flo (on the flo get down, on the flo) Oh, I gave you a taste you want some more (Touch down) I'ma throw it up like a pro  I ride the beat like a bicycle, I'm icy cold Ooh from the 6-4 hefers up in Crenshaw To the money makin' playas up in Harlem Don't want no problem We gone keep it bumpin while the 808 is jumpin'  Diamonds on my neck, di-diamonds on my grill Diamonds on my neck, di-diamonds on my grill  I'm bossy I'm the first girl to scream on a track I switched up the beat of the drum That's right, I brought all the boys to the yard And that's right, I'm the one that's tattooed on his arm I'm bossy I'm the bitch y'all love to hate I'm the chick that's raised the stakes I told young stunna he should switch to Bape I'm back with an 808 'cause I'm bossy  Ooh (I bet I bet I bet) I bet cha neva heard it like this before Me and my baby be cruisin' them phantom doors Got the bar poppin' this that you can't afford (can't afford) Ooh I'm drinkin', blastin the crowds it's all smokin' All the while I'm all open Me and my girls we stay fly and we love to stay high Ooh from the 6-4 hefers up in Crenshaw To the money makin' playas up in Harlem Don't want no problems We gon keep it bumpin while the 808 is jumpin'  Diamonds on my neck, di-diamonds on my grill Diamonds on my neck, di-diamonds on my grill  I'm bossy I'm the first girl to scream on a track I switched up the beat of the drum That's right, I brought all the boys to the yard And that's right, I'm the one that's tattooed on his arm  I'm bossy I'm the bitch y'all love to hate I'm the chick that's raised the stakes I told young stunna he should switch to Bape I'm back with an 808 'cause I'm bossy  It's bout time that she get with me Can't stop starin', she's fine and she's pretty Damn girl, don't hurt em If niggas don't back back, you gone work em Put your mack down, I know your background What chu want girl, you gettin' that now That's how you do it, huh? Well I'm the coolest one  Them bad bitches in the back bring 'em to the front (bitch) Tell that man you's a boss bitch Make some noise, raise your hand if you's a boss bitch I don't think he understand you's a boss bitch Get some help if you can 'cause he lost it Ain't no refunds, she spent the cash mayne In your benz with her friends in the fast lane Flossin, you say ""how much it cost me?"" About a million dollars playa, she's bossy  I'm bossy I'm the first girl to scream on a track I switched up the beat of the drum That's right, I brought all the boys to the yard And that's right, I'm the one that's tattooed on his arm I'm bossy I'm the bitch y'all love to hate I'm the chick that's raised the stakes I told young stunna he should switch to Bape I'm back with an 808 'cause I'm bossy  Uh, uh, watch the beat go Uh, uh, watch the beat go Uh, uh, watch the beat go Uh, uh, watch the beat go Uh, uh, watch the beat go Uh, uh, watch the beat go Uh, uh, watch the beat go Uh, uh, watch the beat go Uh, uh"
happy_all/Bottom Of the Barrel.mp3,Amos Lee,Bottom Of the Barrel,"I keep on livin', To keep from cryin'. I keep on dreamin', To keep from dyin'. I keep on trying, I ain't gonna stop.  Get right down to the bottom of the barrel and float back on top.  We all know someone, Whos always hurtin', The sun is shinin', They draw the curtain. One thing for certain, The pain ain't gonna stop.  You get right down to the bottom of the barrel and float back on top.  'Cause I know the grass, Is always greener in someone else's yard. And the world is so much meaner, When your heart is hard.  I go out walkin', In any season. It could be rainin', It could be freezin'. I don't need no reason, It's just so pleasin'. And I can't stop.  You get right down to the bottom of the barrel and float back on top.  Tou get right down to the bottom of the barrel and float back on top."
happy_all/Bowl Of Oranges.mp3,Bright Eyes,Bowl Of Oranges,"The rain it started tapping On the window near my bed There was a loophole in my dreaming So I got out of it And to my surprise my eyes were wide and already open Just my nightstand and my dresser Where those nightmares had just been  So I dressed myself and left then Out into the gray streets But everything seemed different And completely new to me The sky the trees, houses, buildings, even my own body And each person I encountered I couldn't wait to meet  And I came upon a doctor Who appeared in quite poor health I said there's nothing that I can do for you you can't do for yourself He said oh yes you can, just hold my hand, I think that that would help So I sat with him awhile Then I asked him how he felt  He said I think I'm cured No, in fact, I'm sure of it Thank you, stranger For your therapeutic smile  So that's how I learned the lesson That everyone's alone And your eyes must do some raining If you're ever gonna grow And when crying don't help You can't compose yourself It's best to compose a poem An honest verse of longing Or a simple song of hope  That's why I'm singing baby don't worry 'Cause now I got your back And every time you feel like crying I'm gonna try and make you laugh And if I can't If it just hurts too bad Then we'll wait for it to pass And I will keep you company for those days so long and black  And we'll keep working on the problem We know we'll never solve Of love's uneven remainders Our lives are fractions of a whole But if the world could remain within a frame Like a painting on a wall Then I think we'd see the beauty then We'd stand staring in awe  At our still lives posed Like a bowl of oranges Like a story told By the fault-lines and the soil"
happy_all/Buried Bones.mp3,Tindersticks,Buried Bones,"I could take all the crazy out of you That's what I loved you for I could take away all the orange, greens and blues out of you That's what I loved you for Take a look at me You think it really could be that easy?  Take a look at me You think it really could be that easy for you?  I know about guys, I know where they live And you're just the same The ones that matter fight against themselves But it's so hard to change Hey, I could love you Take all that love away from you Hey, I could love you Put you in this box I made for two  So you could take all this craziness out of me   Ask what you love me for Well, I don't mean to laugh,  But if you know all this You must be half-way there Well, like that drift tonight, you won't know as it falls from you Turn around and it's winter, darling Look in the mirror and it won't be you So you're an old, old dog  You've been around the block So many times And it's the same old turns Same old feel straight down the line Yeah, I can love you Grab that leash and drag you to a place you'd never know I know where my bones are buried May take me a while, but I'd find my way home"
happy_all/C'est La Vie.mp3,Robbie Nevil,C'est La Vie,"Got a job that's okay But they got me working night and day Punching in, punching out Is this really what life's all about?  (What'cha gonna do, what'cha gonna feel?) I don't know (What'cha gonna feel, what'cha gonna do?) Ooh, won't someone tell me (What'cha wanna say, what'cha wanna do?) There's only one thing left to say (What'cha wanna say, what'cha wanna say?)  (C'est la vie, c'est la vie) That's just the way it goes (That's life) Oh, yeah (C'est la vie, c'est la vie) That's just the way it goes (That's life)  Baby's gone, all alone Are you sad because you're on your own? Get that girl, party down There's so many good ones still around  (What'cha gonna do, what'cha gonna feel?) I don't know (What'cha gonna feel, what'cha gonna do?) Ooh, won't someone tell me (What'cha wanna say, what'cha wanna do?) I guess there's just one thing to say (What'cha wanna say, what'cha wanna say?) Woo  (C'est la vie, c'est la vie) That's just the way it goes (That's life) Oh, yeah, ooh (C'est la vie, c'est la vie) That's just the way it goes (That's life) Oh  Hey it's J.J, what you been doin' You say your car broke down, the thing just isn't movin' J.J.J., don't you know When you're down there's just one way to go Now sing it  (C'est la vie, c'est la vie) That's just the way it goes (That's life) Sometimes (C'est la vie, c'est la vie) That's just the way it goes  (C'est la vie, c'est la vie) That's just the way it goes (That's life) Ooh, yeah (C'est la vie, c'est la vie) Oh, that's just the way it goes (That's life) You know it  (C'est la vie, c'est la vie) That's just the way it goes (That's life)"
happy_all/Chicken Payback.mp3,The Bees,Chicken Payback,"(Chicken) Pay the chicken back, back, Pay the chicken back, Pay back the chicken back, Do the chicken payback (Piggy) Pay the piggy back, back, Pay the piggy back, Pay back the piggy back, Do the piggy payback (Monkey) Pay the monkey back, back, Pay the monkey back, See the monkey, do the monkey, Pay the monkey back  (Chicken) Pay the chicken back, back, Pay the chicken back, Pay back the chicken back, back, Do the chicken payback (Camel) Pay the camel back, Sitting on a camel back, See the camel, do the camel Pay the camel back (Donkey) Pay the donkey back, back, Pay the donkey back, Payback the donkey, Payback, payback the monkey  All the animals together break it down let me hear ya!  (Chicken) Pay the chicken back, back, Pay the chicken back, back, Do the chicken payback, Payback the chicken (Piggy) Pay the piggy back, back, Pay the piggy back, See the piggy, do the piggy, Pay the piggy back (Monkey) Pay the monkey back, back, Pay the monkey back, Payback the monkey, Payback, payback the monkey  (Chicken) Pay the chicken back, back, Pay the chicken back, Pay back the chicken back, Do the chicken payback (Camel) Pay the camel back, back, Pay the camel back, Payback the camel, payback, Payback the camel (Donkey) Pay the donkey back, back, Pay the donkey back, Payback the donkey, payback, Payback the donkey, payback  (Pay them all back) Payback the donkey (Pay them all back) Payback the piggy (Pay them all back) Payback the monkey (Pay them all back) Payback the chicken (Pay them all back)"
happy_all/Chilly Down.mp3,David Bowie,Chilly Down,"When the sun goes down (when the sun goes down)  And the bats are back to bed (and the bats are back)  The brothers come 'round (the brothers come 'round)  I get out of my dirty bed (my dirty bed)  I shake my pretty little head (I shake my pretty little head)  Tap my pretty little feet (tap my pretty little feet)  Feeling brighter than sunlight (oh)  Louder than thunder (oh)  Bouncing like a yo-yo, wooh (oh)   Don't got no problems (no problems)  Ain't got no suitcase (no suitcase)  Ain't got no clothes to worry about (no clothes to worry about)  Ain't got no real estate or jewelry or gold mines to hang me up.   I just throw in my hand (throw in my hand)  With the chilliest bunch in the land (in the land)  They don't look much (oh)  They sure chilly chilly (oh)  They positively glow glow, huh (oh)   Chilly down with the fire gang  Think small with the fire gang (It's the only way)  Bad hep with the fire gang (a smile a day keeps the doctor away)  When your thing gets wild  Chilly down   Chilly down with the fire gang (Hey, I'm a wild child)  Act tall with the fire gang (whoo, walk tall)  Good times, bad food (yeah)  When your thing gets wild  Chilly down, chilly down   Drive you crazy, really lazy, eye rollin', funky strollin', ball playin'  Hip swayin', trouble makin', booty shakin', tripping, passing, jumping  Bouncing, drivin', stylin', creeping, pouncing, shoutin', screamin'  Double dealin', rockin', rollin', and a reelin'  With the mackin' sex appealin'.  Can you dig our groovy feelin'?   So when things get too tough (get too tough)  And your chin is dragging on the ground (dragging on the ground)   And even down looks up (down looks up)  Bad luck heh heh,  We can show you a good time (show you a good time)  And we don't charge nothin' (nothin' at all)  Just strut your nasty stuff,  Wiggle in the middle yeh  Get the town talkin', fire gang   Chilly down with the fire gang (think small)  Think small with the fire gang  Bad hep with the fire gang (hey, listen up)  When your thing gets wild  Chilly down   Chilly down with the fire gang (hey, shake your pretty little head)  Act Tall with the fire gang (tap your pretty little feet)  Good times, bad food (come on, come on)  When your thing gets wild  Chilly down   Chilly down with the fire gang (wooh)  Think small with the fire gang  Bad hep with the fire gang"
happy_all/Clocks.mp3,Coldplay,Clocks,"The lights go out and I can't be saved Tides that I tried to swim against Have brought me down upon my knees Oh, I beg, I beg and plead, singing  Come out of things unsaid Shoot an apple off my head, and a Trouble that can't be named A tiger's waiting to be tamed, singing  You are You are  Confusion never stops Closing walls and ticking clocks, gonna Come back and take you home I could not stop that you now know, singing  Come out upon my seas Curse missed opportunities, am I A part of the cure Or am I part of the disease? Singing  You are You are You are You are  You are You are  And nothing else compares Oh, nothing else compares And nothing else compares  You are You are  Home, home, where I wanted to go Home, home, where I wanted to go Home, home, where I wanted to go (You are) Home, home, where I wanted to go (You are)"
happy_all/Creepin Up The Backstairs.mp3,The Fratellis,Creepin Up The Backstairs,"She said ""I'm Rosie"" I said ""I thought you were Lucy"" She said ""No Rosie, I told you so"" Was here with your sister But she's going out the back I want to dance and have fun y'know  Of all the shitty little places I meet you it's here And I'm freaking out I heard you got a brand new name Selling X in the dark But hey it's nothing to shout about  Don't just say yes to tease me Do your utmost to please me I don't mean to be sleazy Being you can't be easy  When you're creepin' up the backstairs Mother's nightmares Falling in the front door, my my Climbing in the window Get dressed, let's go Take your brother's car keys, bye bye  Well I see your yellow fingers And your crucifix bones all covered in cellophane Was there when your best friend said ""Sweetheart, I'm just here to get drunk again""  I wouldn't move if I was you I wouldn't wanna get caught when the lights go out She said ""You think you're so special"" I said ""Sunshine, I'm just bored. I'm just checking out""  Don't just say yes to tease me Do your utmost to please me I don't mean to be sleazy Being you can't be easy  When you're creepin' up the backstairs Mother's nightmares Falling in the front door, my my Climbing in the window Get dressed let's go Take your brother's car keys, bye bye  Don't just say yes to tease me Do your utmost to please me I don't mean to be sleazy Being you can't be easy  When you're creepin' up the backstairs Mother's nightmares Falling in the front door, my my Climbing in the window Get dressed let's go Take your brother's car keys, bye bye  When you're creepin' up the backstairs Mother's nightmares Falling in the front door, my my Climbing in the window Get dressed let's go Take your brother's car keys, bye bye"
happy_all/Do Ya.mp3,Jump5,Do Ya,"Do you like the freckles on my face Do you like my teeth they're out of place I'd like to think so  Do you like the funny way I speak I don't clean my room for weeks and weeks I'd like to think so  Do ya do ya do ya love me? Do ya do do do ya love me? I, I'd like to think so Do ya do ya do ya love me Do ya do do do ya love me anyway I'd like to think so I'd like to think so I'd like to think so  Do you like the way I go all shy I just can't look you in the eye I'd like to think so  Wouls you like to stay here for a while So I can watch you when you smile I'd like to think so  Do ya do ya do ya love me? Do ya do do do ya love me? I, I'd like to think so Do ya do ya do ya love me Do ya do do do ya love me anyway I'd like to think so I'd like to think so I'd like to think so  Well I hope I don't drive you insane With my bigger right foot and unkempt mane Well I know you love me the way I am So I'll change my ways if I think I can  (Do ya do ya do ya love me do ya love me, do ya love me, I, I'd like to think so) Do ya, do ya love me? Do ya do do do ya love me anyway? Do ya love me anyway?  Do ya do ya do ya love me? Do ya do do do ya love me I, I'd like to think so. Do ya do ya do ya loe me do ya do do do ya love me anyway? I like to think so Do ya do ya do ya love me do ya do do do ya love me I like to think so"
happy_all/Don't Worry Be Happy.mp3,Bobby McFerrin,Don't Worry Be Happy,"Here's a little song I wrote You might want to sing it note for note Don't worry, be happy In every life we have some trouble But when you worry, you make it double Don't worry, be happy Don't worry, be happy now  Ooh-ooh-hoo-hoo-ooh hoo-hoo-ooh-ooh-ooh-ooh-ooh Don't worry Woo-ooh-woo-ooh-woo-ooh-ooh Be happy Woo-ooh-ooh-ooh-ooh Don't worry, be happy  Ooh-ooh-hoo-hoo-ooh hoo-hoo-ooh-ooh-ooh-ooh-ooh Don't worry Woo-ooh-woo-ooh-ooh-ooh-ooh Be happy Woo-ooh-woo-ooh-ooh Don't worry, be happy  Ain't got no place to lay your head Somebody came and took your bed Don't worry, be happy The landlord say your rent is late He may have to litigate Don't worry (Ha-ha ha-ha ha-ha)  Be happy (Look at me, I'm happy)  Ooh-ooh-hoo-hoo-ooh ooh-ooh-ooh-ooh-ooh-ooh-ooh Don't worry Ooh-ooh-ooh-ooh-ooh-ooh-ooh Be happy Ooh-ooh-ooh-ooh-ooh (Here, I'll give you my phone number When you're worried, call me I'll make you happy)  Ooo-ooh-hoo-hoo-ooh ooh-ooh-ooh-ooh-ooh-ooh-ooh Don't worry Woo-ooh-ooh-ooh-ooh-ooh-ooh Be happy Woo-ooh-ooh-ooh-ooh  Ain't got no cash, ain't got no style Ain't got no gal to make you smile But don't worry, be happy 'Cause when you're worried, your face will frown And that will bring everybody down So don't worry, be happy Don't worry, be happy now  Ooh-ooh-hoo-ooh-ooh ooh-ooh-ooh-ooh-ooh-ooh-ooh Don't worry Ooh-ooh-ooh-ooh-ooh-ooh-ooh Be happy Woo-ooh-ooh-ooh-ooh Don't worry, be happy  Ooh-ooh-ooh-ooh-ooh ooh-ooh-ooh-ooh-ooh-ooh-ooh Don't worry Woo-ooh-ooh-ooh-ooh-ooh-ooh Be happy Woo-ooh-ooh-ooh-ooh Don't worry, be happy  Now there, is this song I wrote I hope you learned it note-for-note, like good little children Don't worry, be happy A-listen to a-what I say In your life, expect some trouble When you worry you make it double Don't worry, be happy, be happy now  Ooo-oo-hoo-hoo-ooh ooh-ooh-ooh-ooh-ooh-ooh-ooh Don't worry Ooh-ooh-ooh-ooh-ooh-ooh-ooh Be happy Ooh-ooh-ooh-ooh-ooh Don't worry, be happy  Ooh-ooh-hoo-ooh-ooh ooh-ooh-ooh-ooh-ooh-ooh-ooh Don't worry Woo-ooh-ooh-ooh-ooh-ooh-ooh Be happy Woo-ooh-ooh-ooh-ooh Don't worry, be happy  Ooh-ooh-hoo-ooh-ooh ooh-ooh-ooh-ooh-ooh-ooh-ooh Don't worry, don't worry Ooh-ooh-ooh-ooh-ooh-ooh-ooh Don't do it, be happy Ooh-ooh-ooh-ooh-ooh Put a smile on your face Don't bring everybody down like this  Ooh-ooh-hoo-hoo-ooh ooh-ooh-ooh-ooh-ooh-ooh-ooh Don't worry Ooh-ooh-ooh-ooh-ooh-ooh-ooh It will soon pass, whatever it is Ooh-ooh-ooh-ooh-ooh Don't worry, be happy  Ooh-ooh-hoo-hoo-ooh ooh-ooh-ooh-ooh-ooh-ooh-ooh I'm not worried Ooh-ooh-ooh-ooh-ooh-ooh-ooh I'm happy Ooh-ooh-ooh-ooh-ooh"
